#Transcript	Protein	Gene	Gene Description	Structural Category	Coding	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
PB.21879.2	Protein_PB.21879.2	RPL26	RPL26	novel_in_catalog	YES	10.69	14.37	17.29
PB.2188.1	Protein_PB.2188.1	MRPL53	MRPL53	incomplete-splice_match	YES	13.39	7.56	16.36
PB.2188.2	Protein_PB.2188.2	MRPL53	MRPL53	full-splice_match	YES	147.86	129.61	159.07
PB.21881.1	Protein_PB.21881.1	MYH10	MYH10	full-splice_match	YES	11.6	32.31	4.75
PB.21881.11	Protein_PB.21881.11	MYH10	MYH10	novel_in_catalog	YES	21.59	3.4	24.91
PB.21881.16	Protein_PB.21881.16	MYH10	MYH10	novel_not_in_catalog	YES	26.11	50.13	9.57
PB.21881.4	Protein_PB.21881.4	MYH10	MYH10	full-splice_match	YES	4.25	13.99	0.0
PB.21881.8	Protein_PB.21881.8	MYH10	MYH10	novel_in_catalog	YES	83.86	53.85	36.76
PB.21881.9	Protein_PB.21881.9	MYH10	MYH10	novel_in_catalog	YES	49.11	48.61	73.47
PB.21887.1	Protein_PB.21887.1	STX8	STX8	full-splice_match	YES	15.07	18.54	11.34
PB.21887.10	Protein_PB.21887.10	STX8	STX8	incomplete-splice_match	YES	73.68	56.46	71.97
PB.21887.2	Protein_PB.21887.2	STX8	STX8	novel_in_catalog	YES	153.27	194.15	148.4
PB.2189.1	Protein_PB.2189.1	MOGS	MOGS	novel_in_catalog	YES	14.5	21.5	23.9
PB.2189.2	Protein_PB.2189.2	MOGS	MOGS	full-splice_match	YES	104.77	121.32	146.95
PB.21897.7	Protein_PB.21897.7	LOC113271214	LOC113271214	novel_in_catalog	YES	68.45	30.09	47.55
PB.21899.1	Protein_PB.21899.1	LOC113271216	LOC113271216	full-splice_match	YES	122.88	133.94	152.73
PB.21899.2	Protein_PB.21899.2	LOC113271216	LOC113271216	novel_in_catalog	YES	30.84	28.34	31.11
PB.2190.11	Protein_PB.2190.11	RTKN	RTKN	full-splice_match	YES	12.21	7.44	14.8
PB.2190.3	Protein_PB.2190.3	RTKN	RTKN	full-splice_match	YES	31.82	21.93	20.67
PB.2190.7	Protein_PB.2190.7	RTKN	RTKN	novel_in_catalog	YES	6.15	10.26	19.72
PB.2190.8	Protein_PB.2190.8	RTKN	RTKN	full-splice_match	YES	14.81	19.41	21.74
PB.21900.1	Protein_PB.21900.1	TMEM220	TMEM220	full-splice_match	YES	69.76	62.9	24.91
PB.21900.3	Protein_PB.21900.3	TMEM220	TMEM220	novel_not_in_catalog	YES	105.76	126.36	149.36
PB.21900.4		TMEM220	TMEM220	novel_in_catalog	NO	55.04	40.31	45.02
PB.21900.5	Protein_PB.21900.5	TMEM220	TMEM220	novel_in_catalog	YES	170.19	206.25	226.81
PB.21900.7	Protein_PB.21900.7	TMEM220	TMEM220	incomplete-splice_match	YES	25.59	17.6	21.35
PB.21902.1	Protein_PB.21902.1	ZNF18	ZNF18	full-splice_match	YES	1.24	17.1	8.81
PB.21902.3	Protein_PB.21902.3	ZNF18	ZNF18	full-splice_match	YES	90.92	73.47	82.24
PB.21902.4	Protein_PB.21902.4	ZNF18	ZNF18	full-splice_match	YES	23.07	8.02	13.21
PB.21905.1	Protein_PB.21905.1	ELAC2	ELAC2	full-splice_match	YES	517.01	481.64	407.03
PB.21905.2	Protein_PB.21905.2	ELAC2	ELAC2	full-splice_match	YES	29.26	28.31	28.27
PB.21906.1	Protein_PB.21906.1	HS3ST3A1	HS3ST3A1	full-splice_match	YES	20.54	19.07	11.67
PB.21907.1	Protein_PB.21907.1	LOC113271231	LOC113271231	full-splice_match	YES	44.6	38.59	71.5
PB.21908.6	Protein_PB.21908.6	PMP22	PMP22	full-splice_match	YES	7.52	11.23	16.19
PB.21908.8	Protein_PB.21908.8	PMP22	PMP22	novel_not_in_catalog	YES	34.95	27.41	12.6
PB.21913.1	Protein_PB.21913.1	LOC113271240	LOC113271240	full-splice_match	YES	114.28	130.05	158.36
PB.21913.2	Protein_PB.21913.2	LOC113271240	LOC113271240	full-splice_match	YES	8.09	11.99	18.07
PB.21913.3	Protein_PB.21913.3	LOC113271240	LOC113271240	novel_in_catalog	YES	30.32	20.22	17.47
PB.21915.1	Protein_PB.21915.1	TRIM16	TRIM16	full-splice_match	YES	18.47	11.96	11.44
PB.21919.1		LOC113271252	LOC113271252	novel_in_catalog	NO	43.57	54.29	57.57
PB.21919.2		LOC113271252	LOC113271252	full-splice_match	NO	29.18	24.53	27.17
PB.21919.3	Protein_PB.21919.3	LOC113271252	LOC113271252	full-splice_match	YES	35.92	32.58	30.21
PB.21919.4	Protein_PB.21919.4	LOC113271252	LOC113271252	full-splice_match	YES	17.92	22.6	25.04
PB.2192.1	Protein_PB.2192.1	LOC113243743	LOC113243743	novel_in_catalog	YES	173.94	215.97	169.04
PB.2192.11	Protein_PB.2192.11	LOC113243743	LOC113243743	full-splice_match	YES	59.35	62.44	71.15
PB.2192.2	Protein_PB.2192.2	LOC113243743	LOC113243743	novel_not_in_catalog	YES	131.29	119.63	71.77
PB.2192.3	Protein_PB.2192.3	LOC113243743	LOC113243743	full-splice_match	YES	217.35	140.62	112.68
PB.2192.4	Protein_PB.2192.4	LOC113243743	LOC113243743	novel_in_catalog	YES	44.84	23.37	10.59
PB.2192.7	Protein_PB.2192.7	LOC113243743	LOC113243743	novel_not_in_catalog	YES	26.55	35.28	33.09
PB.2192.8	Protein_PB.2192.8	LOC113243743	LOC113243743	novel_in_catalog	YES	48.27	30.09	26.16
PB.2192.9	Protein_PB.2192.9	LOC113243743	LOC113243743	novel_not_in_catalog	YES	288.89	332.61	348.79
PB.21920.1	Protein_PB.21920.1	TRPV2	TRPV2	full-splice_match	YES	18.12	10.86	17.16
PB.21920.3	Protein_PB.21920.3	TRPV2	TRPV2	full-splice_match	YES	12.92	10.89	19.47
PB.21922.1	Protein_PB.21922.1	PIGL	PIGL	full-splice_match	YES	161.94	157.34	207.29
PB.21922.2	Protein_PB.21922.2	PIGL	PIGL	full-splice_match	YES	36.97	33.58	45.28
PB.21924.1	Protein_PB.21924.1	TTC19	TTC19	full-splice_match	YES	78.16	85.25	81.99
PB.21924.2	Protein_PB.21924.2	TTC19	TTC19	incomplete-splice_match	YES	8.59	10.89	15.63
PB.21928.1	Protein_PB.21928.1	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	33.81	31.6	39.4
PB.21928.11	Protein_PB.21928.11	ALDH3A2	ALDH3A2	novel_in_catalog	YES	85.24	129.46	43.43
PB.21928.13	Protein_PB.21928.13	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	4.59	14.18	39.12
PB.21928.15	Protein_PB.21928.15	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	3654.9	3979.95	3486.92
PB.21928.18	Protein_PB.21928.18	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	417.84	165.8	307.01
PB.21928.19	Protein_PB.21928.19	ALDH3A2	ALDH3A2	novel_in_catalog	YES	184.61	141.84	197.43
PB.21928.2	Protein_PB.21928.2	ALDH3A2	ALDH3A2	full-splice_match	YES	146.86	123.3	127.14
PB.21928.20	Protein_PB.21928.20	ALDH3A2	ALDH3A2	novel_in_catalog	YES	156.29	116.26	181.72
PB.21928.22	Protein_PB.21928.22	ALDH3A2	ALDH3A2	novel_in_catalog	YES	114.64	172.57	174.06
PB.21928.23	Protein_PB.21928.23	ALDH3A2	ALDH3A2	novel_in_catalog	YES	155.11	100.64	151.66
PB.21928.24	Protein_PB.21928.24	ALDH3A2	ALDH3A2	novel_in_catalog	YES	62.36	47.81	31.61
PB.21928.25	Protein_PB.21928.25	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	170.43	129.04	183.94
PB.21928.26	Protein_PB.21928.26	ALDH3A2	ALDH3A2	novel_in_catalog	YES	171.45	90.52	137.16
PB.21928.27	Protein_PB.21928.27	ALDH3A2	ALDH3A2	novel_in_catalog	YES	786.35	766.01	733.38
PB.21928.29	Protein_PB.21928.29	ALDH3A2	ALDH3A2	incomplete-splice_match	YES	35.4	37.72	82.19
PB.21928.30	Protein_PB.21928.30	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	30.68	20.52	11.92
PB.21928.32	Protein_PB.21928.32	ALDH3A2	ALDH3A2	novel_in_catalog	YES	21.96	15.06	5.09
PB.21928.6	Protein_PB.21928.6	ALDH3A2	ALDH3A2	full-splice_match	YES	651.92	653.55	476.78
PB.21928.7	Protein_PB.21928.7	ALDH3A2	ALDH3A2	novel_in_catalog	YES	1741.5	1777.2	1360.42
PB.21928.9	Protein_PB.21928.9	ALDH3A2	ALDH3A2	novel_not_in_catalog	YES	40.54	34.9	42.53
PB.21929.1	Protein_PB.21929.1	LOC113271335	LOC113271335	full-splice_match	YES	59.24	45.7	33.88
PB.21929.2	Protein_PB.21929.2	LOC113271335	LOC113271335	novel_not_in_catalog	YES	68.5	54.75	53.79
PB.2193.1	Protein_PB.2193.1	DCTN1	DCTN1	novel_in_catalog	YES	16.49	32.37	28.85
PB.2193.12	Protein_PB.2193.12	DCTN1	DCTN1	novel_not_in_catalog	YES	38.24	28.05	15.62
PB.2193.18	Protein_PB.2193.18	DCTN1	DCTN1	novel_in_catalog	YES	43.33	36.67	48.99
PB.2193.19	Protein_PB.2193.19	DCTN1	DCTN1	full-splice_match	YES	97.15	70.16	54.2
PB.2193.21	Protein_PB.2193.21	DCTN1	DCTN1	novel_in_catalog	YES	28.1	9.13	17.44
PB.2193.3	Protein_PB.2193.3	DCTN1	DCTN1	incomplete-splice_match	YES	137.71	162.85	95.87
PB.2193.4	Protein_PB.2193.4	DCTN1	DCTN1	novel_in_catalog	YES	16.14	13.65	32.36
PB.2193.7	Protein_PB.2193.7	DCTN1	DCTN1	novel_not_in_catalog	YES	34.97	32.0	51.05
PB.21933.1	Protein_PB.21933.1	MAPK7	MAPK7	full-splice_match	YES	29.26	19.14	30.5
PB.21934.5	Protein_PB.21934.5	EPN2	EPN2	full-splice_match	YES	34.41	28.78	34.39
PB.21938.2	Protein_PB.21938.2	PRPSAP2	PRPSAP2	full-splice_match	YES	22.56	25.12	35.68
PB.21938.3	Protein_PB.21938.3	PRPSAP2	PRPSAP2	full-splice_match	YES	38.24	39.19	19.78
PB.21939.1	Protein_PB.21939.1	SMCR8	SMCR8	full-splice_match	YES	210.29	180.4	175.74
PB.2194.1	Protein_PB.2194.1	SLC4A5	SLC4A5	full-splice_match	YES	123.34	77.18	9.45
PB.21940.1	Protein_PB.21940.1	MIEF2	MIEF2	full-splice_match	YES	35.14	26.69	28.68
PB.21940.5	Protein_PB.21940.5	MIEF2	MIEF2	full-splice_match	YES	18.49	15.27	18.99
PB.21942.1	Protein_PB.21942.1	ALKBH5	ALKBH5	full-splice_match	YES	269.69	254.92	250.53
PB.21942.2		ALKBH5	ALKBH5	novel_not_in_catalog	NO	287.15	350.35	281.22
PB.21944.10	Protein_PB.21944.10	DRG2	DRG2	novel_in_catalog	YES	18.79	10.16	17.94
PB.21944.2	Protein_PB.21944.2	DRG2	DRG2	full-splice_match	YES	80.07	76.1	65.85
PB.21944.22	Protein_PB.21944.22	DRG2	DRG2	novel_not_in_catalog	YES	10.39	16.7	17.13
PB.21944.29	Protein_PB.21944.29	DRG2	DRG2	full-splice_match	YES	28.07	21.35	18.88
PB.21944.31	Protein_PB.21944.31	LOC113271294	LOC113271294	novel_in_catalog	YES	25.14	20.02	28.64
PB.21945.1	Protein_PB.21945.1	GID4	GID4	novel_in_catalog	YES	60.64	58.03	55.65
PB.21947.1	Protein_PB.21947.1	RAI1	RAI1	full-splice_match	YES	15.6	32.12	31.28
PB.21947.2	Protein_PB.21947.2	RAI1	RAI1	full-splice_match	YES	33.18	8.69	40.92
PB.21948.1	Protein_PB.21948.1	MED9	MED9	full-splice_match	YES	102.36	117.95	107.08
PB.2195.1	Protein_PB.2195.1	MOB1A	MOB1A	full-splice_match	YES	137.54	178.54	135.63
PB.2195.2	Protein_PB.2195.2	MOB1A	MOB1A	novel_not_in_catalog	YES	38.32	28.69	20.95
PB.2195.3	Protein_PB.2195.3	MOB1A	MOB1A	incomplete-splice_match	YES	28.17	35.66	29.47
PB.2195.4	Protein_PB.2195.4	MOB1A	MOB1A	novel_not_in_catalog	YES	111.64	114.21	140.67
PB.21950.1	Protein_PB.21950.1	LOC113271311	LOC113271311	full-splice_match	YES	21.02	17.46	19.94
PB.21951.1	Protein_PB.21951.1	MPRIP	MPRIP	full-splice_match	YES	69.28	55.99	66.67
PB.21951.2	Protein_PB.21951.2	MPRIP	MPRIP	full-splice_match	YES	156.9	128.28	163.45
PB.21951.3	Protein_PB.21951.3	MPRIP	MPRIP	novel_not_in_catalog	YES	94.82	83.74	83.95
PB.21951.4	Protein_PB.21951.4	MPRIP	MPRIP	incomplete-splice_match	YES	23.1	56.8	35.68
PB.21951.5	Protein_PB.21951.5	MPRIP	MPRIP	full-splice_match	YES	111.01	73.9	65.36
PB.21951.6	Protein_PB.21951.6	MPRIP	MPRIP	incomplete-splice_match	YES	34.14	23.52	33.81
PB.21952.1	Protein_PB.21952.1	LOC113271312	LOC113271312	full-splice_match	YES	21.2	24.66	34.6
PB.21953.1	Protein_PB.21953.1	USP22	USP22	full-splice_match	YES	643.16	630.03	522.85
PB.21954.3	Protein_PB.21954.3	TMEM11	TMEM11	full-splice_match	YES	42.59	36.37	27.24
PB.21954.6	Protein_PB.21954.6	TMEM11	TMEM11	incomplete-splice_match	YES	29.3	24.18	36.62
PB.21955.1	Protein_PB.21955.1	NATD1	NATD1	full-splice_match	YES	84.84	67.83	35.91
PB.21956.1	Protein_PB.21956.1	CLTRN	CLTRN	full-splice_match	YES	79.09	86.13	60.17
PB.21956.2	Protein_PB.21956.2	ACE2	ACE2	full-splice_match	YES	123.04	121.61	75.07
PB.21956.3	Protein_PB.21956.3	ACE2	ACE2	full-splice_match	YES	14.55	46.21	41.06
PB.21957.3	Protein_PB.21957.3	PIR	PIR	full-splice_match	YES	79.76	56.64	10.14
PB.21959.3	Protein_PB.21959.3	PIGA	PIGA	novel_in_catalog	YES	24.34	55.66	41.31
PB.21959.9	Protein_PB.21959.9	PIGA	PIGA	incomplete-splice_match	YES	15.24	13.54	12.08
PB.2196.2	Protein_PB.2196.2	BOLA3	BOLA3	full-splice_match	YES	116.19	141.71	123.23
PB.2196.3	Protein_PB.2196.3	BOLA3	BOLA3	novel_in_catalog	YES	30.95	29.76	33.32
PB.21962.4		ASB9	ASB9	incomplete-splice_match	NO	14.47	9.06	13.25
PB.21969.2	Protein_PB.21969.2	GEMIN8	GEMIN8	full-splice_match	YES	27.46	14.04	11.04
PB.21969.4	Protein_PB.21969.4	GEMIN8	GEMIN8	incomplete-splice_match	YES	11.98	16.61	13.67
PB.21970.6	Protein_PB.21970.6	GPM6B	GPM6B	full-splice_match	YES	81.43	73.82	43.6
PB.21972.1	Protein_PB.21972.1	TRAPPC2	TRAPPC2	full-splice_match	YES	76.99	85.06	60.41
PB.21972.2		TRAPPC2	TRAPPC2	incomplete-splice_match	NO	18.19	17.37	22.8
PB.21978.1	Protein_PB.21978.1	LOC113240732	LOC113240732	full-splice_match	YES	16.32	13.15	16.3
PB.21982.2	Protein_PB.21982.2	MID1	MID1	full-splice_match	YES	78.92	78.54	67.39
PB.21987.1	Protein_PB.21987.1	GPR143	GPR143	novel_not_in_catalog	YES	77.93	68.46	85.28
PB.2199.1	Protein_PB.2199.1	DUSP11	DUSP11	full-splice_match	YES	88.19	129.04	104.8
PB.2199.2	Protein_PB.2199.2	DUSP11	DUSP11	novel_in_catalog	YES	14.33	14.64	15.46
PB.2199.3	Protein_PB.2199.3	DUSP11	DUSP11	novel_in_catalog	YES	67.41	56.9	67.56
PB.21990.1	Protein_PB.21990.1	ANOS1	ANOS1	full-splice_match	YES	60.19	62.07	167.01
PB.21990.2	Protein_PB.21990.2	ANOS1	ANOS1	incomplete-splice_match	YES	15.78	20.66	78.65
PB.21991.1	Protein_PB.21991.1	PNPLA4	PNPLA4	full-splice_match	YES	43.95	56.22	98.7
PB.21991.4	Protein_PB.21991.4	PNPLA4	PNPLA4	novel_in_catalog	YES	6.84	12.97	15.88
PB.21992.1	Protein_PB.21992.1	LOC113240803	LOC113240803	full-splice_match	YES	20.64	50.7	126.72
PB.21993.10	Protein_PB.21993.10	PUDP	PUDP	novel_not_in_catalog	YES	44.26	25.42	42.62
PB.21993.11	Protein_PB.21993.11	PUDP	PUDP	incomplete-splice_match	YES	105.57	138.27	141.49
PB.21993.2	Protein_PB.21993.2	PUDP	PUDP	full-splice_match	YES	46.63	41.19	60.8
PB.21993.3	Protein_PB.21993.3	PUDP	PUDP	full-splice_match	YES	49.48	32.06	52.01
PB.21993.4	Protein_PB.21993.4	PUDP	PUDP	full-splice_match	YES	9.04	14.51	12.26
PB.21993.5	Protein_PB.21993.5	PUDP	PUDP	full-splice_match	YES	25.48	33.54	17.67
PB.21993.6	Protein_PB.21993.6	PUDP	PUDP	full-splice_match	YES	38.54	19.08	19.84
PB.21993.7	Protein_PB.21993.7	PUDP	PUDP	full-splice_match	YES	38.7	25.47	23.32
PB.21993.8	Protein_PB.21993.8	PUDP	PUDP	full-splice_match	YES	20.17	17.26	12.54
PB.21993.9	Protein_PB.21993.9	PUDP	PUDP	full-splice_match	YES	51.41	50.7	55.53
PB.21996.1	Protein_PB.21996.1	NLGN4X	NLGN4X	full-splice_match	YES	17.43	15.51	15.24
PB.220.1		novelGene_64	novelGene_64	intergenic	NO	15.16	8.94	12.38
PB.2200.1	Protein_PB.2200.1	TPRKB	TPRKB	novel_in_catalog	YES	9.69	14.77	6.48
PB.2200.2	Protein_PB.2200.2	TPRKB	TPRKB	novel_in_catalog	YES	93.59	90.05	131.67
PB.2200.3	Protein_PB.2200.3	TPRKB	TPRKB	full-splice_match	YES	52.04	53.25	45.33
PB.2200.5	Protein_PB.2200.5	TPRKB	TPRKB	full-splice_match	YES	25.41	27.58	16.15
PB.22000.1	Protein_PB.22000.1	PRKX	PRKX	full-splice_match	YES	67.94	100.74	59.0
PB.22000.2	Protein_PB.22000.2	PRKX	PRKX	incomplete-splice_match	YES	28.13	18.91	7.85
PB.22002.2		LOC113240776	LOC113240776	full-splice_match	NO	17.15	14.53	13.93
PB.22003.1	Protein_PB.22003.1	MXRA5	MXRA5	full-splice_match	YES	135.57	112.34	127.89
PB.22005.1	Protein_PB.22005.1	ARSD	ARSD	novel_not_in_catalog	YES	64.04	46.19	50.22
PB.22005.12	Protein_PB.22005.12	ARSD	ARSD	novel_in_catalog	YES	245.45	326.47	240.5
PB.22005.13	Protein_PB.22005.13	ARSD	ARSD	full-splice_match	YES	106.4	123.86	79.88
PB.22005.14	Protein_PB.22005.14	ARSD	ARSD	full-splice_match	YES	21.21	13.86	9.04
PB.22005.2	Protein_PB.22005.2	ARSD	ARSD	full-splice_match	YES	25.74	24.88	17.52
PB.22005.3	Protein_PB.22005.3	ARSD	ARSD	incomplete-splice_match	YES	39.7	30.5	37.88
PB.22005.4	Protein_PB.22005.4	ARSD	ARSD	novel_in_catalog	YES	58.82	48.1	55.82
PB.22005.5	Protein_PB.22005.5	ARSD	ARSD	novel_in_catalog	YES	246.34	187.0	284.52
PB.22005.6	Protein_PB.22005.6	ARSD	ARSD	novel_in_catalog	YES	44.64	78.39	66.55
PB.22005.8	Protein_PB.22005.8	ARSD	ARSD	novel_not_in_catalog	YES	12.99	20.69	7.76
PB.22005.9	Protein_PB.22005.9	ARSD	ARSD	novel_not_in_catalog	YES	301.62	244.69	217.97
PB.22006.1	Protein_PB.22006.1	DHRSX	DHRSX	full-splice_match	YES	250.83	288.86	145.7
PB.22006.2	Protein_PB.22006.2	ZBED1	ZBED1	full-splice_match	YES	436.83	425.47	329.03
PB.22006.3	Protein_PB.22006.3	ZBED1	ZBED1	full-splice_match	YES	30.69	20.3	29.26
PB.2201.1	Protein_PB.2201.1	NAT8	NAT8	full-splice_match	YES	27.61	23.65	15.18
PB.2201.2	Protein_PB.2201.2	NAT8	NAT8	full-splice_match	YES	20.83	28.74	11.34
PB.2201.3	Protein_PB.2201.3	NAT8	NAT8	full-splice_match	YES	23.73	41.92	22.98
PB.22011.1	Protein_PB.22011.1	ASMTL	ASMTL	full-splice_match	YES	226.86	203.6	157.79
PB.22012.1	Protein_PB.22012.1	SLC25A6	SLC25A6	incomplete-splice_match	YES	34.34	23.44	18.87
PB.22012.2	Protein_PB.22012.2	SLC25A6	SLC25A6	novel_in_catalog	YES	29.79	26.71	20.24
PB.22012.3	Protein_PB.22012.3	SLC25A6	SLC25A6	full-splice_match	YES	3252.29	3434.48	2807.48
PB.22016.1	Protein_PB.22016.1	GTPBP6	GTPBP6	full-splice_match	YES	172.29	123.91	109.03
PB.22016.3	Protein_PB.22016.3	GTPBP6	GTPBP6	full-splice_match	YES	16.35	12.36	8.13
PB.22016.4	Protein_PB.22016.4	GTPBP6	GTPBP6	novel_in_catalog	YES	33.69	19.82	22.11
PB.22016.5	Protein_PB.22016.5	GTPBP6	GTPBP6	novel_not_in_catalog	YES	21.53	10.01	6.73
PB.22016.6	Protein_PB.22016.6	GTPBP6	GTPBP6	novel_in_catalog	YES	0.0	16.24	0.07
PB.22017.1		LOC113240700	LOC113240700	full-splice_match	NO	29.11	27.97	37.27
PB.22021.2	Protein_PB.22021.2	MOSPD2	MOSPD2	novel_in_catalog	YES	53.99	47.74	56.56
PB.22021.3	Protein_PB.22021.3	MOSPD2	MOSPD2	full-splice_match	YES	176.95	152.05	88.17
PB.22021.5	Protein_PB.22021.5	MOSPD2	MOSPD2	full-splice_match	YES	77.59	76.17	74.36
PB.22026.1	Protein_PB.22026.1	OFD1	OFD1	full-splice_match	YES	67.29	70.67	70.6
PB.22026.3	Protein_PB.22026.3	OFD1	OFD1	full-splice_match	YES	15.83	10.41	11.41
PB.22027.1	Protein_PB.22027.1	RAB9A	RAB9A	novel_in_catalog	YES	71.61	83.98	89.17
PB.22027.2	Protein_PB.22027.2	RAB9A	RAB9A	full-splice_match	YES	92.92	133.49	100.33
PB.22028.1	Protein_PB.22028.1	TCEANC	TCEANC	full-splice_match	YES	38.14	34.76	27.29
PB.22031.1		TMSB4X	TMSB4X	full-splice_match	NO	4026.9	5151.95	5160.62
PB.22031.2		TMSB4X	TMSB4X	incomplete-splice_match	NO	22.24	23.42	24.1
PB.22033.1	Protein_PB.22033.1	TLR7	TLR7	full-splice_match	YES	15.8	18.76	16.46
PB.22034.1	Protein_PB.22034.1	PRPS2	PRPS2	full-splice_match	YES	274.54	339.2	288.18
PB.22034.3	Protein_PB.22034.3	PRPS2	PRPS2	novel_in_catalog	YES	20.47	22.76	7.31
PB.22035.1	Protein_PB.22035.1	FRMPD4	FRMPD4	full-splice_match	YES	20.22	15.74	28.08
PB.22038.1	Protein_PB.22038.1	MSL3	MSL3	novel_not_in_catalog	YES	18.84	25.78	21.12
PB.22038.10	Protein_PB.22038.10	MSL3	MSL3	novel_not_in_catalog	YES	24.02	21.82	4.48
PB.22038.11	Protein_PB.22038.11	MSL3	MSL3	novel_not_in_catalog	YES	7.83	9.84	39.47
PB.22038.13	Protein_PB.22038.13	MSL3	MSL3	novel_not_in_catalog	YES	16.03	19.75	16.96
PB.22038.3	Protein_PB.22038.3	MSL3	MSL3	full-splice_match	YES	24.49	12.72	19.62
PB.22038.9	Protein_PB.22038.9	MSL3	MSL3	novel_in_catalog	YES	51.88	41.07	39.56
PB.22040.5	Protein_PB.22040.5	LOC113240740	LOC113240740	full-splice_match	YES	82.28	89.32	66.06
PB.22042.2	Protein_PB.22042.2	CLCN4	CLCN4	full-splice_match	YES	84.87	81.61	80.6
PB.22042.3	Protein_PB.22042.3	CLCN4	CLCN4	novel_not_in_catalog	YES	9.97	14.18	16.82
PB.22042.4	Protein_PB.22042.4	CLCN4	CLCN4	novel_not_in_catalog	YES	33.46	40.96	53.58
PB.22044.1	Protein_PB.22044.1	WWC3	WWC3	full-splice_match	YES	74.89	76.06	48.73
PB.22044.2	Protein_PB.22044.2	WWC3	WWC3	full-splice_match	YES	55.95	54.27	27.1
PB.22044.4	Protein_PB.22044.4	WWC3	WWC3	full-splice_match	YES	45.39	52.5	47.17
PB.22044.5	Protein_PB.22044.5	WWC3	WWC3	full-splice_match	YES	239.11	179.11	57.81
PB.22046.3	Protein_PB.22046.3	SHROOM2	SHROOM2	full-splice_match	YES	66.67	24.22	79.97
PB.22046.4	Protein_PB.22046.4	SHROOM2	SHROOM2	full-splice_match	YES	167.42	159.9	197.08
PB.22046.5	Protein_PB.22046.5	SHROOM2	SHROOM2	incomplete-splice_match	YES	54.63	71.75	65.8
PB.22047.1	Protein_PB.22047.1	TBL1X	TBL1X	full-splice_match	YES	670.9	543.55	572.14
PB.22047.2	Protein_PB.22047.2	TBL1X	TBL1X	full-splice_match	YES	26.91	21.22	35.36
PB.22048.1	Protein_PB.22048.1	LOC113240756	LOC113240756	full-splice_match	YES	9.31	7.19	20.5
PB.22049.1	Protein_PB.22049.1	LOC113240757	LOC113240757	full-splice_match	YES	141.36	151.89	216.44
PB.22049.2	Protein_PB.22049.2	LOC113240757	LOC113240757	full-splice_match	YES	8.88	11.39	66.71
PB.22050.2		LOC113240759	LOC113240759	full-splice_match	NO	14.15	5.82	19.82
PB.22051.1		LOC113240760	LOC113240760	full-splice_match	NO	4.0	5.01	16.87
PB.22053.2	Protein_PB.22053.2	STS	STS	full-splice_match	YES	25.8	18.74	16.12
PB.22055.1	Protein_PB.22055.1	LOC113240768	LOC113240768	full-splice_match	YES	3519.7	6024.39	4634.02
PB.22055.2	Protein_PB.22055.2	LOC113240768	LOC113240768	novel_in_catalog	YES	81.84	755.42	587.47
PB.22055.3	Protein_PB.22055.3	LOC113240768	LOC113240768	novel_in_catalog	YES	82.31	430.07	290.28
PB.22055.4	Protein_PB.22055.4	LOC113240768	LOC113240768	novel_in_catalog	YES	108.64	203.34	598.62
PB.22060.12	Protein_PB.22060.12	GYG2	GYG2	novel_in_catalog	YES	94.32	87.24	86.36
PB.22060.16	Protein_PB.22060.16	GYG2	GYG2	novel_not_in_catalog	YES	52.14	33.7	57.59
PB.22060.17	Protein_PB.22060.17	GYG2	GYG2	novel_not_in_catalog	YES	17.43	3.62	5.63
PB.22060.18	Protein_PB.22060.18	GYG2	GYG2	novel_in_catalog	YES	21.37	18.61	33.77
PB.22060.19	Protein_PB.22060.19	GYG2	GYG2	full-splice_match	YES	16.67	13.52	10.26
PB.22060.2	Protein_PB.22060.2	GYG2	GYG2	full-splice_match	YES	84.4	64.72	84.55
PB.22060.21	Protein_PB.22060.21	GYG2	GYG2	incomplete-splice_match	YES	78.32	70.94	73.81
PB.22060.22	Protein_PB.22060.22	GYG2	GYG2	incomplete-splice_match	YES	21.48	17.82	18.49
PB.22060.3	Protein_PB.22060.3	GYG2	GYG2	full-splice_match	YES	45.19	71.87	39.69
PB.22060.9	Protein_PB.22060.9	GYG2	GYG2	novel_not_in_catalog	YES	64.87	48.46	67.36
PB.22061.1	Protein_PB.22061.1	XG	XG	incomplete-splice_match	YES	25.53	25.99	35.27
PB.22062.1	Protein_PB.22062.1	CD99	CD99	full-splice_match	YES	157.48	146.51	163.6
PB.22062.12	Protein_PB.22062.12	CD99	CD99	novel_not_in_catalog	YES	39.74	20.01	20.78
PB.22062.14	Protein_PB.22062.14	CD99	CD99	novel_not_in_catalog	YES	24.56	21.54	45.48
PB.22062.15	Protein_PB.22062.15	CD99	CD99	novel_not_in_catalog	YES	22.33	16.47	2.13
PB.22062.3	Protein_PB.22062.3	CD99	CD99	novel_in_catalog	YES	17.83	15.38	12.33
PB.22062.4	Protein_PB.22062.4	CD99	CD99	novel_in_catalog	YES	16.06	14.12	13.12
