




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
alkanesulfonate transmembrane transporter activity (GO:0042959)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TORC2 complex binding (GO:1904841)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein O-GlcNAc transferase activity (GO:0097363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CXCR3 chemokine receptor binding (GO:0048248)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acyloxyacyl hydrolase activity (GO:0050528)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase binding (GO:0120283)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
diphthine-ammonia ligase activity (GO:0017178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HMG box domain binding (GO:0071837)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol N-acetylglucosaminyltransferase activity (GO:0017176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucoside transmembrane transporter activity (GO:0042947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transporter activity (GO:0001409)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine dioxygenase activity (GO:0017172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine hydrolase activity (GO:0017171)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
C2H2 zinc finger domain binding (GO:0070742)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tubulin-glutamic acid ligase activity (GO:0070740)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative binding (GO:1901567)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
virus coreceptor activity (GO:0120274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenomedullin binding (GO:1990409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-acylglycerol-3-phosphate O-acyltransferase activity (GO:0047144)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity (GO:0050510)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein antigen binding (GO:1990405)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CDP-alcohol phosphatidyltransferase activity (GO:0017169)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein ADP-ribosylase activity (GO:1990404)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
5-oxoprolinase (ATP-hydrolyzing) activity (GO:0017168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vinculin binding (GO:0017166)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
tripeptide transmembrane transporter activity (GO:0042937)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosomal large subunit rRNA binding (GO:1990400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-glutamic acid ligase activity (GO:0070739)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor binding (GO:0017162)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4-trisphosphate 4-phosphatase activity (GO:0017161)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metal-dependent deubiquitinase activity (GO:0140492)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinamide-nucleotide adenylyltransferase activity (GO:0000309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein adenylyltransferase activity (GO:0070733)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity (GO:0008499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation activator activity (GO:0008494)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase (NAD(P)) activity (GO:0047134)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pantetheine hydrolase activity (GO:0017159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity (GO:0047131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
saccharopine dehydrogenase (NADP+, L-lysine-forming) activity (GO:0047130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex binding (GO:0071814)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor activity (GO:0017154)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle binding (GO:0071813)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
sodium:dicarboxylate symporter activity (GO:0017153)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leucine binding (GO:0070728)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
neuropeptide binding (GO:0042923)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DEAD/H-box RNA helicase binding (GO:0017151)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA dihydrouridine synthase activity (GO:0017150)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ABC-type iron-sulfur cluster transporter activity (GO:0140481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RIG-I binding (GO:0039552)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-glutamyl carboxylase activity (GO:0008488)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfuric ester hydrolase activity (GO:0008484)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
transaminase activity (GO:0008483)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
sulfite oxidase activity (GO:0008482)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity (GO:0102200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sphinganine kinase activity (GO:0008481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcosine dehydrogenase activity (GO:0008480)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA binding (GO:0035198)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
siRNA binding (GO:0035197)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Wnt-protein binding (GO:0017147)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate phosphatase activity (GO:0046030)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
poly-purine tract binding (GO:0070717)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
7SK snRNA binding (GO:0097322)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
xenobiotic transmembrane transporter activity (GO:0042910)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
mismatched DNA binding (GO:0030983)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
queuine tRNA-ribosyltransferase activity (GO:0008479)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-tyrosine sulfotransferase activity (GO:0008476)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen-lysine 5-dioxygenase activity (GO:0008475)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
2-methyl-branched-chain-enoyl-CoA reductase activity (GO:0047119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitoyl-(protein) hydrolase activity (GO:0008474)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity (GO:0047117)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (GO:0017136)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
histone threonine kinase activity (GO:0035184)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor binding (GO:0017134)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
tubulin deacetylase activity (GO:0042903)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
poly(C) RNA binding (GO:0017130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine pyrophosphate binding (GO:0030976)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol desaturase activity (GO:0070704)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BMP receptor binding (GO:0070700)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
receptor tyrosine kinase binding (GO:0030971)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor activity (GO:0000995)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone-arginine N-methyltransferase activity (GO:0008469)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III core binding (GO:0000994)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II complex binding (GO:0000993)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glycogenin glucosyltransferase activity (GO:0008466)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerate dehydrogenase activity (GO:0008465)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
4-trimethylammoniobutyraldehyde dehydrogenase activity (GO:0047105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dTDP-glucose 4,6-dehydratase activity (GO:0008460)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aminomuconate-semialdehyde dehydrogenase activity (GO:0047102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride binding (GO:0017129)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid scramblase activity (GO:0017128)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-S10 specific) (GO:0035175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone serine kinase activity (GO:0035174)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein demethylase activity (GO:0140457)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
deoxycytidyl transferase activity (GO:0017125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (GO:0035173)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
structural molecule activity (GO:0005198)	197	0	1.71	-	 < 0.01	4.17E-01	1.00E00
acyl-CoA binding (GO:0120227)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
chondroitin 6-sulfotransferase activity (GO:0008459)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
coenzyme A binding (GO:0120225)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carnitine O-octanoyltransferase activity (GO:0008458)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylgalactosaminidase activity (GO:0008456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
caspase binding (GO:0089720)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0008454)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alanine-glyoxylate transaminase activity (GO:0008453)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA ligase activity (GO:0008452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA helicase activity (GO:0017116)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside-diphosphatase activity (GO:0017110)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Tat protein binding (GO:0030957)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
neuropeptide hormone activity (GO:0005184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium ion binding (GO:0030955)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cerebroside-sulfatase activity (GO:0004098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
catalase activity (GO:0004096)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carnitine O-palmitoyltransferase activity (GO:0004095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transmembrane transporter activity (GO:1901505)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
carnitine O-acetyltransferase activity (GO:0004092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-6-phosphate deacetylase activity (GO:0008448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbonyl reductase (NADPH) activity (GO:0004090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GDP-mannose 4,6-dehydratase activity (GO:0008446)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-aspartate oxidase activity (GO:0008445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphofructokinase activity (GO:0008443)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxyisobutyrate dehydrogenase activity (GO:0008442)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3'(2'),5'-bisphosphate nucleotidase activity (GO:0008441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 3-kinase activity (GO:0008440)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
5'-flap endonuclease activity (GO:0017108)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-stearoyltransferase activity (GO:0140439)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
hormone activity (GO:0005179)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidoglycan immune receptor activity (GO:0016019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin binding (GO:0005178)	58	0	.50	-	 < 0.01	1.00E00	1.00E00
ErbB-2 class receptor binding (GO:0005176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA polymerase activity (GO:0034062)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
carbonate dehydratase activity (GO:0004089)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
stem cell factor receptor binding (GO:0005173)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (GO:0004088)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor binding (GO:0005172)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrion targeting sequence binding (GO:0030943)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbamoyl-phosphate synthase (ammonia) activity (GO:0004087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor receptor binding (GO:0005171)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum signal peptide binding (GO:0030942)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
bisphosphoglycerate mutase activity (GO:0004082)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
JUN kinase binding (GO:0008432)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin E binding (GO:0008431)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
selenium binding (GO:0008430)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
diacylglycerol binding (GO:0019992)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA strand-exchange activity (GO:0034057)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRKA receptor binding (GO:0005168)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
estrogen response element binding (GO:0034056)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRK receptor binding (GO:0005167)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
neurotrophin receptor binding (GO:0005165)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activator activity (GO:0016005)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor binding (GO:0005164)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
phospholipase activator activity (GO:0016004)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor receptor binding (GO:0005161)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor binding (GO:0005160)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
biotin carboxylase activity (GO:0004075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
biliverdin reductase (NAD(P)+) activity (GO:0004074)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine binding (GO:0008429)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease inhibitor activity (GO:0008428)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate carbamoyltransferase activity (GO:0004070)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0008425)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-glucosidase activity (GO:0008422)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
interleukin-6 binding (GO:0019981)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription regulator inhibitor activity (GO:0140416)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor receptor binding (GO:0005159)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
citrate dehydratase activity (GO:0047780)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
insulin receptor binding (GO:0005158)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
poly(G) binding (GO:0034046)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
macrophage colony-stimulating factor receptor binding (GO:0005157)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
zinc:bicarbonate symporter activity (GO:0140412)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
solute:bicarbonate symporter activity (GO:0140410)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor receptor binding (GO:0005154)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
L-aspartate:2-oxoglutarate aminotransferase activity (GO:0004069)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-8 receptor binding (GO:0005153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate 1-decarboxylase activity (GO:0004068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor antagonist activity (GO:0005152)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
asparaginase activity (GO:0004067)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type II receptor binding (GO:0005151)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I receptor binding (GO:0005150)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arylsulfatase activity (GO:0004065)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
arylesterase activity (GO:0004064)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
aryl sulfotransferase activity (GO:0004062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arylformamidase activity (GO:0004061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-N-terminal asparagine amidohydrolase activity (GO:0008418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
arylamine N-acetyltransferase activity (GO:0004060)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fucosyltransferase activity (GO:0008417)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dTTP diphosphatase activity (GO:0036218)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate octaprenyltransferase activity (GO:0008412)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CoA-transferase activity (GO:0008410)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
(S)-citramalyl-CoA lyase activity (GO:0047777)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-11 binding (GO:0019970)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor binding (GO:0005149)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor binding (GO:0005143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arginyltransferase activity (GO:0004057)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
argininosuccinate lyase activity (GO:0004056)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TPR domain binding (GO:0030911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
argininosuccinate synthase activity (GO:0004055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arginase activity (GO:0004053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' exonuclease activity (GO:0008409)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
3'-5' exonuclease activity (GO:0008408)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
interleukin-10 binding (GO:0019969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 binding (GO:0019966)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
type I interferon binding (GO:0019962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interferon binding (GO:0019961)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C-X3-C chemokine binding (GO:0019960)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
butyrate-CoA ligase activity (GO:0047760)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor binding (GO:0005138)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor binding (GO:0005137)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-4 receptor binding (GO:0005136)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-3 receptor binding (GO:0005135)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor binding (GO:0005134)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor binding (GO:0005131)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacylase activity (GO:0004046)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA hydrolase activity (GO:0004045)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amidophosphoribosyltransferase activity (GO:0004044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-aminoadipate-semialdehyde dehydrogenase activity (GO:0004043)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C-X-C chemokine binding (GO:0019958)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C-C chemokine binding (GO:0019957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chemokine binding (GO:0019956)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cytokine binding (GO:0019955)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
cholestenone 5-alpha-reductase activity (GO:0047751)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor binding (GO:0005128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor binding (GO:0005127)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cytokine receptor binding (GO:0005126)	68	0	.59	-	 < 0.01	1.00E00	1.00E00
cytokine activity (GO:0005125)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
scavenger receptor binding (GO:0005124)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FAD-AMP lyase (cyclizing) activity (GO:0034012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
death receptor binding (GO:0005123)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
Toll binding (GO:0005121)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alkaline phosphatase activity (GO:0004035)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
aldo-keto reductase (NADP) activity (GO:0004033)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde oxidase activity (GO:0004031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
HLH domain binding (GO:0043398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan binding (GO:0043395)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
proteoglycan binding (GO:0043394)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
cholate-CoA ligase activity (GO:0047747)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAIL binding (GO:0045569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
type II transforming growth factor beta receptor binding (GO:0005114)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
patched binding (GO:0005113)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
Notch binding (GO:0005112)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase activity, zinc-dependent (GO:0004024)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase (NAD+) activity (GO:0004022)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
L-alanine:2-oxoglutarate aminotransferase activity (GO:0004021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
adenylylsulfate kinase activity (GO:0004020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation repressor activity, mRNA regulatory element binding (GO:0000900)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
ISG15 transferase activity (GO:0042296)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
