




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
negative regulation of low-density lipoprotein receptor activity (GO:1905598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
centrosome separation (GO:0051299)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
centrosome duplication (GO:0051298)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
mRNA destabilization-mediated gene silencing (GO:0098795)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
co-translational protein modification (GO:0043686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of spindle orientation (GO:0051294)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
establishment of spindle localization (GO:0051293)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
xenophagy (GO:0098792)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear pore complex assembly (GO:0051292)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein heterooligomerization (GO:0051291)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
protein heterotetramerization (GO:0051290)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of L-arginine import across plasma membrane (GO:1905589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
outer hair cell apoptotic process (GO:1905584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA cleavage required for polyadenylation (GO:0098789)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage involved in mRNA processing (GO:0098787)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of sequestering of calcium ion (GO:0051284)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
ncRNA transcription (GO:0098781)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
exosomal secretion (GO:1990182)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA 3'-end processing (GO:1990180)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ganglioside GM1 transport to membrane (GO:1905572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
skin epidermis development (GO:0098773)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular component movement (GO:0051272)	213	0	1.85	-	 < 0.01	2.64E-01	1.00E00
protein localization to nucleoplasm (GO:1990173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular component movement (GO:0051271)	108	0	.94	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor catabolic process (GO:1990172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component movement (GO:0051270)	385	0	3.34	-	 < 0.01	7.76E-02	1.00E00
stress response to cadmium ion (GO:1990170)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular endothelial cell proliferation (GO:1905564)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular endothelial cell proliferation (GO:1905563)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of vascular endothelial cell proliferation (GO:1905562)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
stress response to copper ion (GO:1990169)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein K27-linked deubiquitination (GO:1990167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to site of double-strand break (GO:1990166)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic cell cycle phase (GO:0098763)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
recognition of apoptotic cell (GO:0043654)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H2A phosphorylation (GO:1990164)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-7 (GO:0098761)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
engulfment of apoptotic cell (GO:0043652)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein depolymerization (GO:0051261)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
response to interleukin-7 (GO:0098760)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
linoleic acid metabolic process (GO:0043651)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid biosynthetic process (GO:0043650)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
specification of symmetry (GO:0009799)	39	0	.34	-	 < 0.01	1.00E00	1.00E00
axis specification (GO:0009798)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to endoplasmic reticulum (GO:1905551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to endoplasmic reticulum (GO:1905550)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
protein polymerization (GO:0051258)	44	0	.38	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	47	0	.41	-	 < 0.01	1.00E00	1.00E00
meiotic spindle midzone assembly (GO:0051257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle, embryonic (GO:0009794)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol phosphate metabolic process (GO:0043647)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone assembly (GO:0051256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spindle midzone assembly (GO:0051255)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
detoxification (GO:0098754)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
post-embryonic development (GO:0009791)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
bone cell development (GO:0098751)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte activation (GO:0051251)	76	0	.66	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient (GO:0031670)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of L-arginine import across plasma membrane (GO:1905541)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of abscisic acid-activated signaling pathway (GO:0009787)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ephrin receptor signaling pathway (GO:1901189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein metabolic process (GO:0051248)	439	0	3.80	-	 < 0.01	3.13E-02	1.00E00
blue light signaling pathway (GO:0009785)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ephrin receptor signaling pathway (GO:1901187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERBB signaling pathway (GO:1901186)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB signaling pathway (GO:1901185)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cell aggregation (GO:0098743)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	38	0	.33	-	 < 0.01	1.00E00	1.00E00
maintenance of translational fidelity (GO:1990145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	45	0	.39	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hypoxia (GO:1990144)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent RNA catabolic process (GO:0043633)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipopolysaccharide-mediated signaling pathway (GO:0031665)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leucine import across plasma membrane (GO:1905533)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of leucine import across plasma membrane (GO:1905532)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
import across plasma membrane (GO:0098739)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
sequestering of metal ion (GO:0051238)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ncRNA 3'-end processing (GO:0043628)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
neuron projection extension (GO:1990138)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
response to estrogen (GO:0043627)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction (GO:0098735)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of location (GO:0051235)	74	0	.64	-	 < 0.01	1.00E00	1.00E00
macromolecule depalmitoylation (GO:0098734)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular protein complex disassembly (GO:0043624)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
macromolecule deacylation (GO:0098732)	41	0	.36	-	 < 0.01	1.00E00	1.00E00
cortical microtubule organization (GO:0043622)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
spindle elongation (GO:0051231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spindle disassembly (GO:0051230)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription in response to stress (GO:0043620)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of heat generation (GO:0031652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of heat generation (GO:0031651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heat generation (GO:0031650)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Golgi lumen acidification (GO:1905528)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi lumen acidification (GO:1905526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein autoubiquitination (GO:1905524)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage migration (GO:1905523)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage migration (GO:1905521)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
germline stem cell asymmetric division (GO:0098728)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic spindle disassembly (GO:0051228)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of cell number (GO:0098727)	48	0	.42	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
keratinocyte proliferation (GO:0043616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
spindle assembly (GO:0051225)	49	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of trophoblast cell migration (GO:1901165)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein transport (GO:0051224)	40	0	.35	-	 < 0.01	1.00E00	1.00E00
negative regulation of trophoblast cell migration (GO:1901164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
asymmetric stem cell division (GO:0098722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of trophoblast cell migration (GO:1901163)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
primary amino compound biosynthetic process (GO:1901162)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic sequestering of protein (GO:0051220)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex assembly (GO:1990120)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heat generation (GO:0031649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein destabilization (GO:0031648)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of protein stability (GO:0031647)	153	0	1.33	-	 < 0.01	6.43E-01	1.00E00
positive regulation of nervous system process (GO:0031646)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of nervous system process (GO:0031645)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of nervous system process (GO:0031644)	35	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of myelination (GO:0031643)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of myelination (GO:0031642)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of myelination (GO:0031641)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
killing of cells of other organism (GO:0031640)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
macrophage migration (GO:1905517)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of fertilization (GO:1905516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-motile cilium assembly (GO:1905515)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
sodium ion import across plasma membrane (GO:0098719)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
hexose mediated signaling (GO:0009757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate mediated signaling (GO:0009756)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cartilage development (GO:0051216)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
formamide metabolic process (GO:0043606)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular amide catabolic process (GO:0043605)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leucine import across plasma membrane (GO:0098713)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-glutamate import across plasma membrane (GO:0098712)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II core complex assembly (GO:1990114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to fructose (GO:0009750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iron ion import across plasma membrane (GO:0098711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasminogen activation (GO:0031639)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
zymogen activation (GO:0031638)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule organizing center (GO:1905508)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
response to glucose (GO:0009749)	55	0	.48	-	 < 0.01	1.00E00	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
glucose import across plasma membrane (GO:0098708)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hexose (GO:0009746)	56	0	.49	-	 < 0.01	1.00E00	1.00E00
sequestering of calcium ion (GO:0051208)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
gene expression involved in extracellular matrix organization (GO:1901148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein linear deubiquitination (GO:1990108)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to sucrose (GO:0009744)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to carbohydrate (GO:0009743)	71	0	.62	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane (GO:0051205)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
carbohydrate import across plasma membrane (GO:0098704)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial membrane (GO:0051204)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
calcium ion import across plasma membrane (GO:0098703)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin catabolic process (GO:1901143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gibberellic acid mediated signaling pathway (GO:0009740)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin metabolic process (GO:1901142)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
neurotransmitter loading into synaptic vesicle (GO:0098700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
telomeric loop formation (GO:0031627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor internalization (GO:0031623)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
response to gibberellin (GO:0009739)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of endogenous stimulus (GO:0009726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to lipoteichoic acid (GO:0070391)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylation (GO:0101030)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic nuclear membrane organization (GO:0101024)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Harderian gland development (GO:0070384)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA cytosine deamination (GO:0070383)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound biosynthetic process (GO:0009713)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound metabolic process (GO:0009712)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle membrane organization (GO:0048499)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
maintenance of animal organ identity (GO:0048496)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
anterograde synaptic vesicle transport (GO:0048490)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ERK5 cascade (GO:0070375)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	32	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	92	0	.80	-	 < 0.01	1.00E00	1.00E00
ERK1 and ERK2 cascade (GO:0070371)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular heat acclimation (GO:0070370)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activated T cell proliferation (GO:0050798)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of insulin secretion (GO:0050796)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of behavior (GO:0050795)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle transport (GO:0048489)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
parasympathetic nervous system development (GO:0048486)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sympathetic nervous system development (GO:0048485)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
enteric nervous system development (GO:0048484)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autonomic nervous system development (GO:0048483)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
hepatocyte differentiation (GO:0070365)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
replication fork protection (GO:0048478)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oogenesis (GO:0048477)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
actin polymerization-dependent cell motility (GO:0070358)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of white fat cell proliferation (GO:0070350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA destabilization (GO:0050779)	45	0	.39	-	 < 0.01	1.00E00	1.00E00
negative regulation of immune response (GO:0050777)	68	0	.59	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendrite morphogenesis (GO:0050775)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendrite morphogenesis (GO:0050774)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cell maturation (GO:0048469)	44	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of axonogenesis (GO:0050772)	32	0	.28	-	 < 0.01	1.00E00	1.00E00
negative regulation of axonogenesis (GO:0050771)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of axonogenesis (GO:0050770)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
IRE1-mediated unfolded protein response (GO:0036498)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation by eIF2 alpha dephosphorylation (GO:0036496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction organization (GO:0120193)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to endoplasmic reticulum stress (GO:0036493)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of fat cell proliferation (GO:0070346)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction assembly (GO:0120192)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
eiF2alpha phosphorylation in response to endoplasmic reticulum stress (GO:0036492)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fat cell proliferation (GO:0070345)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036491)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of fat cell proliferation (GO:0070344)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
brown fat cell proliferation (GO:0070342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fat cell proliferation (GO:0070341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of bacterial lipopeptide (GO:0070340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of neurogenesis (GO:0050769)	78	0	.68	-	 < 0.01	1.00E00	1.00E00
negative regulation of neurogenesis (GO:0050768)	45	0	.39	-	 < 0.01	1.00E00	1.00E00
regulation of neurogenesis (GO:0050767)	128	0	1.11	-	 < 0.01	6.29E-01	1.00E00
positive regulation of phagocytosis (GO:0050766)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of phagocytosis (GO:0050765)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of phagocytosis (GO:0050764)	35	0	.30	-	 < 0.01	1.00E00	1.00E00
regulation of bile acid secretion (GO:0120188)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to chromatin (GO:0120186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ventral trunk neural crest cell migration (GO:0036486)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to bacterial lipopeptide (GO:0070339)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
trunk neural crest cell migration (GO:0036484)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of focal adhesion disassembly (GO:0120183)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of molecular function (GO:0044092)	406	0	3.52	-	 < 0.01	4.82E-02	1.00E00
regulation of focal adhesion disassembly (GO:0120182)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
membrane biogenesis (GO:0044091)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:0036481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vacuole organization (GO:0044090)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular component biogenesis (GO:0044089)	212	0	1.84	-	 < 0.01	2.64E-01	1.00E00
steroid hormone biosynthetic process (GO:0120178)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
neuron death in response to oxidative stress (GO:0036475)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride homeostasis (GO:0070328)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cell death in response to hydrogen peroxide (GO:0036474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transport (GO:0070327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell death in response to oxidative stress (GO:0036473)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein metabolic process (GO:0050748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein metabolic process (GO:0050747)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein metabolic process (GO:0050746)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton organization (GO:0099188)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling via endosome (GO:0036466)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of G0 to G1 transition (GO:0070318)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of G0 to G1 transition (GO:0070317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cold-induced thermogenesis (GO:0120163)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of G0 to G1 transition (GO:0070316)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
TRAIL-activated apoptotic signaling pathway (GO:0036462)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition involved in cell differentiation (GO:0070315)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anion transport (GO:0044070)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition (GO:0070314)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	29	0	.25	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	57	0	.49	-	 < 0.01	1.00E00	1.00E00
