




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
mitochondrial inner membrane peptidase complex (GO:0042720)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
COPI vesicle coat (GO:0030126)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin vesicle coat (GO:0030125)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
AP-3 adaptor complex (GO:0030123)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
smooth muscle contractile fiber (GO:0030485)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AP-2 adaptor complex (GO:0030122)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
vesicle coat (GO:0030120)	30	0	.35	-	 < 0.01	1.00E00	1.00E00
SCAR complex (GO:0031209)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthesis complex (GO:0110142)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
SNARE complex (GO:0031201)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
AP-type membrane coat adaptor complex (GO:0030119)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
clathrin coat (GO:0030118)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
membrane coat (GO:0030117)	47	0	.55	-	 < 0.01	1.00E00	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor disc membrane (GO:0120202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
keratin filament (GO:0045095)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
intrinsic component of synaptic membrane (GO:0099240)	23	0	.27	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex (GO:0032993)	70	0	.82	-	 < 0.01	1.00E00	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CNTFR-CLCF1 complex (GO:0097059)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cap methyltransferase complex (GO:0031533)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase complex (GO:1903958)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	46	0	.54	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex (GO:0005680)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
lysosomal HOPS complex (GO:1902501)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar HOPS complex (GO:1902500)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
microvillus membrane (GO:0031528)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle dense body (GO:0055120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ssh1 translocon complex (GO:0071261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
DRM complex (GO:0070176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PcG protein complex (GO:0031519)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
box H/ACA telomerase RNP complex (GO:0090661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mis6-Sim4 complex (GO:0031511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
RNA polymerase transcription factor SL1 complex (GO:0005668)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
site of polarized growth (GO:0030427)	76	0	.89	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
growth cone (GO:0030426)	73	0	.86	-	 < 0.01	1.00E00	1.00E00
cytoplasmic region (GO:0099568)	83	0	.97	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
apical cytoplasm (GO:0090651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
glial cell projection (GO:0097386)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	36	0	.42	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
slit diaphragm (GO:0036057)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm (GO:0036056)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary plasm (GO:0097014)	29	0	.34	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle lumen (GO:0097013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle (GO:0072686)	80	0	.94	-	 < 0.01	1.00E00	1.00E00
nuclear pore (GO:0005643)	50	0	.59	-	 < 0.01	1.00E00	1.00E00
annulate lamellae (GO:0005642)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear envelope lumen (GO:0005641)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inner dense plaque of desmosome (GO:0090637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
outer dense plaque of desmosome (GO:0090636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell body membrane (GO:0044298)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
integral component of nuclear inner membrane (GO:0005639)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axonal growth cone (GO:0044295)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
CIA complex (GO:0097361)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic growth cone (GO:0044294)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	27	0	.32	-	 < 0.01	1.00E00	1.00E00
dendrite terminus (GO:0044292)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
cell-cell contact zone (GO:0044291)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse (GO:0060077)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
excitatory synapse (GO:0060076)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
perinucleolar compartment (GO:0097356)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytosol (GO:0099524)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic shaft (GO:0043198)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cytosolic region (GO:0099522)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
terminal bouton (GO:0043195)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
plasma membrane protein complex (GO:0098797)	140	0	1.64	-	 < 0.01	4.13E-01	1.00E00
amino acid transport complex (GO:1990184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
INO80-type complex (GO:0097346)	18	0	.21	-	 < 0.01	1.00E00	1.00E00
endolysosome lumen (GO:0036021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Rix1 complex (GO:0097344)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endolysosome membrane (GO:0036020)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
laminin-5 complex (GO:0005610)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
WASH complex (GO:0071203)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endolysosome (GO:0036019)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor complex (GO:1904090)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
laminin-3 complex (GO:0005608)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-pyruvate aminotransferase complex (GO:0005969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-1 complex (GO:0005606)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
classical-complement-pathway C3/C5 convertase complex (GO:0005601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium-dependent protein serine/threonine phosphatase complex (GO:0005963)	18	0	.21	-	 < 0.01	1.00E00	1.00E00
mitochondrial isocitrate dehydrogenase complex (NAD+) (GO:0005962)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
respirasome (GO:0070469)	19	0	.22	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein kinase CK2 complex (GO:0005956)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase complex (GO:0005952)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 2A complex (GO:0000159)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	27	0	.32	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
phagolysosome membrane (GO:0061474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase complex (GO:0005948)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal matrix (GO:0043159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
septin ring (GO:0005940)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
axoneme (GO:0005930)	28	0	.33	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GATOR1 complex (GO:1990130)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
host cell surface (GO:0044228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apical pole of neuron (GO:0044225)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase complex (GO:0071513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex (GO:1990124)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIB complex (GO:0000126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA ligase III-XRCC1 complex (GO:0070421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spanning component of plasma membrane (GO:0044214)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I transcription regulator complex (GO:0000120)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
nonhomologous end joining complex (GO:0070419)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
histone deacetylase complex (GO:0000118)	41	0	.48	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of autophagosome membrane (GO:0097637)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of autophagosome membrane (GO:0097636)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 2 complex (GO:0000111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of omegasome membrane (GO:0097631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatin lock complex (GO:0061793)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of omegasome membrane (GO:0097630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-coated pit (GO:0005905)	38	0	.45	-	 < 0.01	1.00E00	1.00E00
microvillus (GO:0005902)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
caveola (GO:0005901)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment membrane (GO:0060342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
specific granule lumen (GO:0035580)	19	0	.22	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
KICSTOR complex (GO:0140007)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	30	0	.35	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatase complex (GO:1903293)	30	0	.35	-	 < 0.01	1.00E00	1.00E00
specific granule membrane (GO:0035579)	28	0	.33	-	 < 0.01	1.00E00	1.00E00
azurophil granule lumen (GO:0035578)	38	0	.45	-	 < 0.01	1.00E00	1.00E00
azurophil granule membrane (GO:0035577)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
integral component of lysosomal membrane (GO:1905103)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase III complex (GO:0009360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin small complex (GO:0008275)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Tapasin-ERp57 complex (GO:0061779)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
eNoSc complex (GO:0061773)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
spanning component of membrane (GO:0089717)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
