




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
tubulin deacetylase activity (GO:0042903)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
poly(C) RNA binding (GO:0017130)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamine pyrophosphate binding (GO:0030976)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sterol desaturase activity (GO:0070704)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
BMP receptor binding (GO:0070700)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
receptor tyrosine kinase binding (GO:0030971)	37	0	1.06	-	 < 0.01	6.26E-01	1.00E00
RNA polymerase III general transcription initiation factor activity (GO:0000995)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
histone-arginine N-methyltransferase activity (GO:0008469)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III core binding (GO:0000994)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
glycogenin glucosyltransferase activity (GO:0008466)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glycerate dehydrogenase activity (GO:0008465)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-trimethylammoniobutyraldehyde dehydrogenase activity (GO:0047105)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dTDP-glucose 4,6-dehydratase activity (GO:0008460)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triglyceride binding (GO:0017129)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phospholipid scramblase activity (GO:0017128)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-S10 specific) (GO:0035175)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone serine kinase activity (GO:0035174)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein demethylase activity (GO:0140457)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
deoxycytidyl transferase activity (GO:0017125)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (GO:0035173)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
SH3 domain binding (GO:0017124)	61	0	1.74	-	 < 0.01	4.18E-01	1.00E00
maleylacetoacetate isomerase activity (GO:0016034)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chondroitin 6-sulfotransferase activity (GO:0008459)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
coenzyme A binding (GO:0120225)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
carnitine O-octanoyltransferase activity (GO:0008458)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylgalactosaminidase activity (GO:0008456)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
caspase binding (GO:0089720)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0008454)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
alanine-glyoxylate transaminase activity (GO:0008453)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA ligase activity (GO:0008452)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-nuclear membrane anchor activity (GO:0140444)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleoside-diphosphatase activity (GO:0017110)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
Tat protein binding (GO:0030957)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
neuropeptide hormone activity (GO:0005184)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
potassium ion binding (GO:0030955)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
cerebroside-sulfatase activity (GO:0004098)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
catalase activity (GO:0004096)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
carnitine O-palmitoyltransferase activity (GO:0004095)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transmembrane transporter activity (GO:1901505)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
carnitine O-acetyltransferase activity (GO:0004092)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-6-sulfatase activity (GO:0008449)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-6-phosphate deacetylase activity (GO:0008448)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GDP-mannose 4,6-dehydratase activity (GO:0008446)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphofructokinase activity (GO:0008443)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3-hydroxyisobutyrate dehydrogenase activity (GO:0008442)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'(2'),5'-bisphosphate nucleotidase activity (GO:0008441)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 3-kinase activity (GO:0008440)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
5'-flap endonuclease activity (GO:0017108)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-stearoyltransferase activity (GO:0140439)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
hormone activity (GO:0005179)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
morphogen activity (GO:0016015)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA polymerase activity (GO:0034062)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (GO:0004088)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor binding (GO:0005172)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
mitochondrion targeting sequence binding (GO:0030943)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor receptor binding (GO:0005171)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum signal peptide binding (GO:0030942)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRKC receptor binding (GO:0005170)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
butyryl-CoA dehydrogenase activity (GO:0004085)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
bisphosphoglycerate mutase activity (GO:0004082)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
JUN kinase binding (GO:0008432)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
vitamin E binding (GO:0008431)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
selenium binding (GO:0008430)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRKB receptor binding (GO:0005169)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA strand-exchange activity (GO:0034057)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRKA receptor binding (GO:0005168)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
estrogen response element binding (GO:0034056)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRK receptor binding (GO:0005167)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
neurotrophin receptor binding (GO:0005165)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activator activity (GO:0016005)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor binding (GO:0005164)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
phospholipase activator activity (GO:0016004)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor receptor binding (GO:0005161)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
biotin carboxylase activity (GO:0004075)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biliverdin reductase (NAD(P)+) activity (GO:0004074)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine binding (GO:0008429)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
ribonuclease inhibitor activity (GO:0008428)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartate carbamoyltransferase activity (GO:0004070)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0008425)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
molybdenum cofactor sulfurtransferase activity (GO:0102867)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-glucosidase activity (GO:0008422)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
interleukin-6 binding (GO:0019981)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription regulator inhibitor activity (GO:0140416)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor receptor binding (GO:0005159)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
citrate dehydratase activity (GO:0047780)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
poly(G) binding (GO:0034046)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
macrophage colony-stimulating factor receptor binding (GO:0005157)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
zinc:bicarbonate symporter activity (GO:0140412)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
solute:bicarbonate symporter activity (GO:0140410)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor receptor binding (GO:0005154)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
L-aspartate:2-oxoglutarate aminotransferase activity (GO:0004069)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-8 receptor binding (GO:0005153)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartate 1-decarboxylase activity (GO:0004068)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor antagonist activity (GO:0005152)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
asparaginase activity (GO:0004067)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type II receptor binding (GO:0005151)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arylsulfatase activity (GO:0004065)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
arylesterase activity (GO:0004064)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aryl sulfotransferase activity (GO:0004062)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arylformamidase activity (GO:0004061)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-N-terminal asparagine amidohydrolase activity (GO:0008418)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
arylamine N-acetyltransferase activity (GO:0004060)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fucosyltransferase activity (GO:0008417)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
dTTP diphosphatase activity (GO:0036218)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate octaprenyltransferase activity (GO:0008412)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CoA-transferase activity (GO:0008410)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
(S)-citramalyl-CoA lyase activity (GO:0047777)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-11 binding (GO:0019970)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydroguanine DNA N-glycosylase activity (GO:0034039)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor binding (GO:0005149)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor binding (GO:0005143)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
argininosuccinate lyase activity (GO:0004056)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
TPR domain binding (GO:0030911)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
argininosuccinate synthase activity (GO:0004055)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' exonuclease activity (GO:0008409)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
interleukin-10 binding (GO:0019969)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-1 binding (GO:0019966)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
type I interferon binding (GO:0019962)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interferon binding (GO:0019961)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
butyrate-CoA ligase activity (GO:0047760)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor binding (GO:0005138)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor binding (GO:0005137)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-4 receptor binding (GO:0005136)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-3 receptor binding (GO:0005135)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor binding (GO:0005134)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
aminomethyltransferase activity (GO:0004047)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor binding (GO:0005131)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
aminoacylase activity (GO:0004046)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
amidophosphoribosyltransferase activity (GO:0004044)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-X-C chemokine binding (GO:0019958)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-C chemokine binding (GO:0019957)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
chemokine binding (GO:0019956)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
chondroitin 4-sulfotransferase activity (GO:0047756)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cholestenone 5-alpha-reductase activity (GO:0047751)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cholestenol delta-isomerase activity (GO:0047750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor binding (GO:0005128)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor binding (GO:0005127)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cytokine activity (GO:0005125)	24	0	.69	-	 < 0.01	1.00E00	1.00E00
scavenger receptor binding (GO:0005124)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
FAD-AMP lyase (cyclizing) activity (GO:0034012)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
death receptor binding (GO:0005123)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
Toll binding (GO:0005121)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
aldose 1-epimerase activity (GO:0004034)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aldo-keto reductase (NADP) activity (GO:0004033)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
HLH domain binding (GO:0043398)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan binding (GO:0043395)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
proteoglycan binding (GO:0043394)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
cholate-CoA ligase activity (GO:0047747)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
smoothened binding (GO:0005119)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
TRAIL binding (GO:0045569)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
patched binding (GO:0005113)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
Notch binding (GO:0005112)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
type 2 fibroblast growth factor receptor binding (GO:0005111)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase activity, zinc-dependent (GO:0004024)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase (NAD+) activity (GO:0004022)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
L-alanine:2-oxoglutarate aminotransferase activity (GO:0004021)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
translation repressor activity, mRNA regulatory element binding (GO:0000900)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
CDP-glycerol diphosphatase activity (GO:0047734)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
delta-catenin binding (GO:0070097)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
frizzled binding (GO:0005109)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor binding (GO:0005104)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenylate kinase activity (GO:0004017)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase activity (GO:0004016)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
adenosylmethionine decarboxylase activity (GO:0004014)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosylhomocysteinase activity (GO:0004013)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glutaryl-CoA hydrolase activity (GO:0044466)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MHC class I protein binding (GO:0042288)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
MHC protein binding (GO:0042287)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
xylosyltransferase activity (GO:0042285)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042283)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chromo shadow domain binding (GO:0070087)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase (NADP+) activity (GO:0035798)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042281)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor (GO:0016657)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
syndecan binding (GO:0045545)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor (GO:0016652)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
adenosine kinase activity (GO:0004001)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosine deaminase activity (GO:0004000)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
efflux transmembrane transporter activity (GO:0015562)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
RNA trimethylguanosine synthase activity (GO:0071164)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase activity (GO:0019912)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
structural constituent of myelin sheath (GO:0019911)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid transporter activity (GO:0046624)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
sphingolipid floppase activity (GO:0046623)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor (GO:0016647)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	15	0	.43	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proline-rich region binding (GO:0070064)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
fructose binding (GO:0070061)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
thrombospondin receptor activity (GO:0070053)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
collagen V binding (GO:0070052)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fibrinogen binding (GO:0070051)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
calcium-independent protein kinase C activity (GO:0004699)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein kinase C activity (GO:0004698)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
protein kinase C activity (GO:0004697)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity (GO:0043337)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cGMP-dependent protein kinase activity (GO:0004692)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity (GO:0043333)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor activity (GO:0045509)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxypyruvate reductase activity (GO:0016618)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase activity (GO:0004689)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
myosin light chain kinase activity (GO:0004687)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
elongation factor-2 kinase activity (GO:0004686)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hexose-phosphate:inorganic phosphate antiporter activity (GO:0015526)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
telomerase RNA binding (GO:0070034)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
glutaminyl-peptide cyclotransferase activity (GO:0016603)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase activity (GO:0004677)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein tag (GO:0031386)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nitric oxide binding (GO:0070026)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
carbon monoxide binding (GO:0070025)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase activator activity (GO:0030296)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
receptor signaling protein tyrosine kinase inhibitor activity (GO:0030294)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
