




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
cis-Golgi network membrane (GO:0033106)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
tertiary granule membrane (GO:0070821)	29	0	.49	-	 < 0.01	1.00E00	1.00E00
tertiary granule (GO:0070820)	65	0	1.09	-	 < 0.01	6.29E-01	1.00E00
dendritic spine cytoplasm (GO:0061846)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neuron projection branch point (GO:0061845)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
nuclear pore cytoplasmic filaments (GO:0044614)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dynein axonemal particle (GO:0120293)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	46	0	.77	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase complex (GO:0043527)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
phagolysosome (GO:0032010)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CLOCK-BMAL transcription complex (GO:1990513)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
DBIRD complex (GO:0044609)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Sin3 complex (GO:0016580)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
polysomal ribosome (GO:0042788)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor complex (GO:0008328)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
exon-exon junction subcomplex mago-y14 (GO:1990501)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
basal tubulobulbar complex (GO:0061829)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
apical tubulobulbar complex (GO:0061828)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor AP-1 complex (GO:0035976)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex (GO:0031264)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of Golgi membrane (GO:0030173)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase complex (GO:0042765)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin complex (GO:0008305)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
caspase complex (GO:0008303)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
7SK snRNP (GO:0120259)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex (GO:0019814)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ER ubiquitin ligase complex (GO:0000835)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
lateral wall of outer hair cell (GO:0120249)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
intrinsic component of the cytoplasmic side of the plasma membrane (GO:0031235)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
intrinsic component of external side of plasma membrane (GO:0031233)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
nuclear proteasome complex (GO:0031595)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of peroxisomal membrane (GO:0031231)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase complex (GO:1902562)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
GMP reductase complex (GO:1902560)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of nuclear inner membrane (GO:0031229)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
intrinsic component of Golgi membrane (GO:0031228)	35	0	.59	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
anchored component of membrane (GO:0031225)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
nuclear MIS12/MIND complex (GO:0000818)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
MWP complex (GO:1990811)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex (GO:0000815)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle (GO:0030137)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
outer dynein arm docking complex (GO:0120228)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ESCRT I complex (GO:0000813)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
Swr1 complex (GO:0000812)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor complex (GO:0030131)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
calpain complex (GO:0110158)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tertiary granule lumen (GO:1904724)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum palmitoyltransferase complex (GO:0031211)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Y chromosome (GO:0000806)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin coat of endocytic vesicle (GO:0030128)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
subapical part of cell (GO:0120219)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane peptidase complex (GO:0042720)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
COPI vesicle coat (GO:0030126)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin vesicle coat (GO:0030125)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
AP-3 adaptor complex (GO:0030123)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
smooth muscle contractile fiber (GO:0030485)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
AP-2 adaptor complex (GO:0030122)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
sperm head-tail coupling apparatus (GO:0120212)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
vesicle coat (GO:0030120)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
SCAR complex (GO:0031209)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SNARE complex (GO:0031201)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
AP-type membrane coat adaptor complex (GO:0030119)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
polkadots (GO:0002096)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor distal connecting cilium (GO:0120206)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor outer segment (GO:0120200)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GO:0042709)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
TRC complex (GO:0072380)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex (GO:0032993)	81	0	1.36	-	 < 0.01	6.46E-01	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CNTFR-CLCF1 complex (GO:0097059)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cap methyltransferase complex (GO:0031533)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase complex (GO:1903958)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	48	0	.81	-	 < 0.01	1.00E00	1.00E00
U7 snRNP (GO:0005683)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	123	0	2.07	-	 < 0.01	2.72E-01	1.00E00
anaphase-promoting complex (GO:0005680)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
lysosomal HOPS complex (GO:1902501)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
vacuolar HOPS complex (GO:1902500)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
microvillus membrane (GO:0031528)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
chromatin silencing complex (GO:0005677)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Ssh1 translocon complex (GO:0071261)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
box H/ACA telomerase RNP complex (GO:0090661)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
RNA polymerase transcription factor SL1 complex (GO:0005668)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic U snRNP body (GO:0071254)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tight junction (GO:0070160)	55	0	.92	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
glial cell projection (GO:0097386)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	44	0	.74	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
slit diaphragm (GO:0036057)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm (GO:0036056)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
glomerular endothelium fenestra (GO:0036053)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle lumen (GO:0097013)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic spindle (GO:0072686)	91	0	1.53	-	 < 0.01	4.08E-01	1.00E00
annulate lamellae (GO:0005642)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear envelope lumen (GO:0005641)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of nuclear inner membrane (GO:0005639)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
axonal growth cone (GO:0044295)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
CIA complex (GO:0097361)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic growth cone (GO:0044294)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
dendrite terminus (GO:0044292)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse (GO:0060077)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
synapse-associated extracellular matrix (GO:0099535)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
perinucleolar compartment (GO:0097356)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytosol (GO:0099524)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cytosolic region (GO:0099522)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
varicosity (GO:0043196)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
terminal bouton (GO:0043195)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
axon initial segment (GO:0043194)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
INO80-type complex (GO:0097346)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
endolysosome lumen (GO:0036021)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Rix1 complex (GO:0097344)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endolysosome membrane (GO:0036020)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
WASH complex (GO:0071203)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endolysosome (GO:0036019)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor complex (GO:1904090)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-pyruvate aminotransferase complex (GO:0005969)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
classical-complement-pathway C3/C5 convertase complex (GO:0005601)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial isocitrate dehydrogenase complex (NAD+) (GO:0005962)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
SAGA-type complex (GO:0070461)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
protein kinase CK2 complex (GO:0005956)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase complex (GO:0005952)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
phagolysosome membrane (GO:0061474)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase complex (GO:0005948)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IB (GO:0005944)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
