




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
integral component of nuclear inner membrane (GO:0005639)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axonal growth cone (GO:0044295)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CIA complex (GO:0097361)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic growth cone (GO:0044294)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
dendrite terminus (GO:0044292)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cell-cell contact zone (GO:0044291)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
synapse-associated extracellular matrix (GO:0099535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
excitatory synapse (GO:0060076)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
perinucleolar compartment (GO:0097356)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytosol (GO:0099524)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic shaft (GO:0043198)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic region (GO:0099522)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
varicosity (GO:0043196)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
terminal bouton (GO:0043195)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
axon initial segment (GO:0043194)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein-containing complex (GO:0098798)	66	0	.53	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
INO80-type complex (GO:0097346)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
endolysosome lumen (GO:0036021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endolysosome membrane (GO:0036020)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
laminin-5 complex (GO:0005610)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
WASH complex (GO:0071203)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endolysosome (GO:0036019)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor complex (GO:1904090)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-3 complex (GO:0005608)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-pyruvate aminotransferase complex (GO:0005969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-1 complex (GO:0005606)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
magnesium-dependent protein serine/threonine phosphatase complex (GO:0005963)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
mitochondrial isocitrate dehydrogenase complex (NAD+) (GO:0005962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exocytic vesicle membrane (GO:0099501)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
respirasome (GO:0070469)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
SAGA-type complex (GO:0070461)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase CK2 complex (GO:0005956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase complex (GO:0005952)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle (GO:0045335)	44	0	.35	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 2A complex (GO:0000159)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phagolysosome membrane (GO:0061474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase complex (GO:0005948)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase complex (GO:0005945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal matrix (GO:0043159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class IA (GO:0005943)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex (GO:0005942)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
septin ring (GO:0005940)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
elongin complex (GO:0070449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exocyst (GO:0000145)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
AP-5 adaptor complex (GO:0044599)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated endoplasmic reticulum membrane (GO:0044233)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cell cortex (GO:0005938)	116	0	.93	-	 < 0.01	1.00E00	1.00E00
ciliary rootlet (GO:0035253)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
axoneme (GO:0005930)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
mitotic spindle microtubule (GO:1990498)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Grb2-EGFR complex (GO:0070436)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Shc-EGFR complex (GO:0070435)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna (GO:0000138)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna (GO:0000137)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Gtr1-Gtr2 GTPase complex (GO:1990131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell surface (GO:0044228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
juxtaparanode region of axon (GO:0044224)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class I (GO:0097651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle tendon junction (GO:0005927)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
focal adhesion (GO:0005925)	161	0	1.28	-	 < 0.01	6.38E-01	1.00E00
bicellular tight junction (GO:0005923)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
connexin complex (GO:0005922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gap junction (GO:0005921)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex (GO:1990124)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIIC complex (GO:0000127)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA ligase III-XRCC1 complex (GO:0070421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor complex (GO:0097648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SAGA complex (GO:0000124)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
Rad51C-XRCC3 complex (GO:0033065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase complex (GO:0000123)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spanning component of plasma membrane (GO:0044214)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA recombinase mediator complex (GO:0033061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fascia adherens (GO:0005916)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
zonula adherens (GO:0005915)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
adherens junction (GO:0005912)	63	0	.50	-	 < 0.01	1.00E00	1.00E00
nonhomologous end joining complex (GO:0070419)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase complex (GO:0070418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MOZ/MORF histone acetyltransferase complex (GO:0070776)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
histone deacetylase complex (GO:0000118)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
RQC complex (GO:1990112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
H3 histone acetyltransferase complex (GO:0070775)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
spermatoproteasome complex (GO:1990111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of autophagosome membrane (GO:0097637)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of autophagosome membrane (GO:0097636)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
translation initiation ternary complex (GO:0044207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of autophagosome membrane (GO:0097635)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 3 complex (GO:0000112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair factor 1 complex (GO:0000110)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of phagophore assembly site membrane (GO:0097632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
F-actin capping protein complex (GO:0008290)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of omegasome membrane (GO:0097631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of omegasome membrane (GO:0097630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-coated pit (GO:0005905)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
brush border (GO:0005903)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
caveola (GO:0005901)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor complex (GO:0005900)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
specific granule lumen (GO:0035580)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair complex (GO:0000109)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-secretase complex (GO:0070765)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcolemma (GO:0042383)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
extrinsic component of omegasome membrane (GO:0097629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase complex (GO:0008287)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
omegasome (GO:1990462)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
paraspeckles (GO:0042382)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pre-snoRNP complex (GO:0070761)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
inward rectifying potassium channel (GO:0008282)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatase complex (GO:1903293)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
specific granule membrane (GO:0035579)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
azurophil granule lumen (GO:0035578)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
azurophil granule membrane (GO:0035577)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
integral component of lysosomal membrane (GO:1905103)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endopeptidase Clp complex (GO:0009368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-type voltage-gated calcium channel complex (GO:1990454)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cohesin complex (GO:0008278)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Parkin-FBXW7-Cul1 ubiquitin ligase complex (GO:1990452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin small complex (GO:0008275)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Tapasin-ERp57 complex (GO:0061779)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NSL complex (GO:0044545)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
eNoSc complex (GO:0061773)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatoid body (GO:0033391)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cornified envelope (GO:0001533)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
spanning component of membrane (GO:0089717)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phagocytic cup (GO:0001891)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
THO complex part of transcription export complex (GO:0000445)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
MIS12/MIND type complex (GO:0000444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex, alpha-subunit complex (GO:0019773)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
supraspliceosomal complex (GO:0044530)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microfibril (GO:0001527)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BBSome (GO:0034464)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH core complex (GO:0000439)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum lumen (GO:0033018)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum membrane (GO:0033017)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
nuclear cohesin complex (GO:0000798)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
U2AF complex (GO:0089701)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
condensin complex (GO:0000796)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex (GO:0000795)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
condensed nuclear chromosome (GO:0000794)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase complex (GO:0008250)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
paranodal junction (GO:0033010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heterochromatin (GO:0000792)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
euchromatin (GO:0000791)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
DUBm complex (GO:0071819)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BAT3 complex (GO:0071818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MMXD complex (GO:0071817)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor complex (GO:0032281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel complex (GO:0001518)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Mpp10 complex (GO:0034457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP-C complex (GO:0034456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
t-UTP complex (GO:0034455)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase complex (GO:0009331)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BMP receptor complex (GO:0070724)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleosome (GO:0000786)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cone photoreceptor outer segment (GO:0120199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatin (GO:0000785)	330	0	2.63	-	 < 0.01	1.08E-01	1.00E00
autophagosome membrane (GO:0000421)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
nuclear telomere cap complex (GO:0000783)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere cap complex (GO:0000782)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric region (GO:0000781)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy translocation complex (GO:0061742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
asymmetric synapse (GO:0032279)	86	0	.69	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase complex (GO:0009328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle (GO:1990777)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	50	0	.40	-	 < 0.01	1.00E00	1.00E00
kinetochore (GO:0000776)	46	0	.37	-	 < 0.01	1.00E00	1.00E00
ATAC complex (GO:0140672)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily complex (GO:0002947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK13 complex (GO:0002945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin K-CDK12 complex (GO:0002944)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cajal body (GO:0015030)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
CGRP receptor complex (GO:1990406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
EKC/KEOPS complex (GO:0000408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site (GO:0000407)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
growth cone lamellipodium (GO:1990761)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane raft (GO:0044853)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
PR-DUB complex (GO:0035517)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
integral component of vacuolar membrane (GO:0031166)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
autophagosome lumen (GO:0034423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule end (GO:1990752)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
unconventional myosin complex (GO:0016461)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-HMGB1 complex (GO:0035868)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin II complex (GO:0016460)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-PKCalpha complex (GO:0035866)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid tube (GO:0060987)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cellular component (GO:0018995)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
acetyltransferase complex (GO:1902493)	46	0	.37	-	 < 0.01	1.00E00	1.00E00
site of double-strand break (GO:0035861)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
secretory granule lumen (GO:0034774)	91	0	.73	-	 < 0.01	1.00E00	1.00E00
EARP complex (GO:1990745)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin complex (GO:0016459)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
PAR polarity complex (GO:0120157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial tricarboxylic acid cycle enzyme complex (GO:0030062)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista (GO:0030061)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GATOR2 complex (GO:0061700)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Seh1-associated complex (GO:0035859)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
insulin-responsive compartment (GO:0032593)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial membrane (GO:0032592)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
dendritic spine membrane (GO:0032591)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dendrite membrane (GO:0032590)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
pseudopodium (GO:0031143)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
titin-telethonin complex (GO:1990733)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
VCP-NSFL1C complex (GO:1990730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
desmosome (GO:0030057)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cell-substrate junction (GO:0030055)	162	0	1.29	-	 < 0.01	6.39E-01	1.00E00
RISC complex (GO:0016442)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
neuron projection membrane (GO:0032589)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
multivesicular body membrane (GO:0032585)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
growth cone membrane (GO:0032584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna membrane (GO:0032580)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
TRAMP complex (GO:0031499)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint MAD1-MAD2 complex (GO:1990728)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aryl hydrocarbon receptor complex (GO:0034751)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Scrib-APC-beta-catenin complex (GO:0034750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellularization cleavage furrow (GO:0110070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actomyosin (GO:0042641)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA packaging complex (GO:0044815)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle, base subcomplex (GO:0008540)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
growing cell tip (GO:0035838)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule bundle (GO:1905720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HFE-transferrin receptor complex (GO:1990712)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Ski complex (GO:0055087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-catenin-ICAT complex (GO:1990711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin V complex (GO:0031475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chylomicron (GO:0042627)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MAD1 complex (GO:1990706)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment membrane (GO:0042622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
