




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
protein exit from endoplasmic reticulum (GO:0032527)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
response to retinoic acid (GO:0032526)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
somite rostral/caudal axis specification (GO:0032525)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-DNA covalent cross-linking repair (GO:0106300)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hematopoietic stem cell differentiation (GO:1902037)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic stem cell differentiation (GO:1902036)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
protein O-linked glycosylation via threonine (GO:0018243)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hematopoietic stem cell proliferation (GO:1902035)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic stem cell proliferation (GO:1902033)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of NADP metabolic process (GO:1902031)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA-dependent DNA biosynthetic process (GO:0006278)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate (GO:0000971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA replication (GO:0006275)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
lagging strand elongation (GO:0006273)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leading strand elongation (GO:0006272)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphoprotein phosphatase activity (GO:0032516)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA replication initiation (GO:0006270)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to vitamin (GO:0071295)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA exon ligation (GO:0000968)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to zinc ion (GO:0071294)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA 5'-end processing (GO:0000967)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 5'-end processing (GO:0000966)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA 3'-end processing (GO:0000965)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA 5'-end processing (GO:0000964)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
L-lysine transport (GO:1902022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA processing (GO:0000963)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA replication, synthesis of RNA primer (GO:0006269)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial RNA catabolic process (GO:0000962)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA unwinding involved in DNA replication (GO:0006268)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of cilium-dependent cell motility (GO:1902020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial RNA catabolic process (GO:0000961)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial RNA catabolic process (GO:0000960)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA ligation (GO:0006266)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA topological change (GO:0006265)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA replication (GO:0006264)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA duplex unwinding (GO:0032508)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in cell (GO:0032507)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
cytokinetic process (GO:0032506)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA-dependent DNA replication (GO:0006261)	39	0	.31	-	 < 0.01	1.00E00	1.00E00
DNA replication (GO:0006260)	71	0	.57	-	 < 0.01	1.00E00	1.00E00
cellular response to manganese ion (GO:0071287)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cilium-dependent cell motility (GO:1902019)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to magnesium ion (GO:0071286)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cilium assembly (GO:1902018)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to lithium ion (GO:0071285)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cilium assembly (GO:1902017)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
mitochondrial mRNA catabolic process (GO:0000958)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to lead ion (GO:0071284)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA catabolic process (GO:0000957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to iron(III) ion (GO:0071283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process (GO:0000956)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
cellular response to iron ion (GO:0071281)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to copper ion (GO:0071280)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP catabolic process (GO:0006256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to cobalt ion (GO:0071279)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid phosphorylation (GO:0018217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to calcium ion (GO:0071277)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation (GO:0018216)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to cadmium ion (GO:0071276)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to aluminum ion (GO:0071275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine modification (GO:0018212)	56	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of amyloid-beta formation (GO:1902004)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-tryptophan modification (GO:0018211)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of amyloid-beta formation (GO:1902003)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine modification (GO:0018210)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
fatty acid transmembrane transport (GO:1902001)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
CMP catabolic process (GO:0006248)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein delipidation (GO:0051697)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide catabolic process (GO:0006244)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
actin filament uncapping (GO:0051695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pointed-end actin filament capping (GO:0051694)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament capping (GO:0051693)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
CTP biosynthetic process (GO:0006241)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein K69-linked ufmylation (GO:1990592)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine modification (GO:0018209)	68	0	.54	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage (GO:0071267)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-methionine modification (GO:0018206)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine modification (GO:0018205)	112	0	.89	-	 < 0.01	1.00E00	1.00E00
L-methionine biosynthetic process (GO:0071265)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation in response to starvation (GO:0071264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine modification (GO:0018202)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation in response to starvation (GO:0071262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-glycine modification (GO:0018201)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to mechanical stimulus (GO:0071260)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
dTTP biosynthetic process (GO:0006235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dTDP biosynthetic process (GO:0006233)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of Golgi location (GO:0051684)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of Golgi localization (GO:0051683)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dTMP biosynthetic process (GO:0006231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to electrical stimulus (GO:0071257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP biosynthetic process (GO:0006228)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dUDP biosynthetic process (GO:0006227)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP biosynthetic process (GO:0006225)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial L-ornithine transmembrane transport (GO:1990575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP biosynthetic process (GO:0006222)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane disruption in other organism (GO:0051673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium ion import across plasma membrane (GO:1990573)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide biosynthetic process (GO:0006221)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to metal ion (GO:0071248)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
cellular response to carbon monoxide (GO:0071245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to arsenic-containing substance (GO:0071243)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring assembly (GO:0000915)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to inorganic substance (GO:0071241)	51	0	.41	-	 < 0.01	1.00E00	1.00E00
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
localization within membrane (GO:0051668)	172	0	1.37	-	 < 0.01	6.46E-01	1.00E00
cytokinesis (GO:0000910)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
cytidine catabolic process (GO:0006216)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane raft localization (GO:0051665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein polyufmylation (GO:1990564)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of centrosome location (GO:0051661)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of centrosome localization (GO:0051660)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to antibiotic (GO:0071236)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to alcohol (GO:1905957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to leucine (GO:0071233)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipid localization (GO:1905954)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid localization (GO:1905953)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of lipid localization (GO:1905952)	43	0	.34	-	 < 0.01	1.00E00	1.00E00
cell morphogenesis involved in differentiation (GO:0000904)	137	0	1.09	-	 < 0.01	6.27E-01	1.00E00
cellular response to amino acid stimulus (GO:0071230)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
cell morphogenesis (GO:0000902)	183	0	1.46	-	 < 0.01	4.02E-01	1.00E00
maintenance of mitochondrion location (GO:0051659)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of organelle location (GO:0051657)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
IMP catabolic process (GO:0006204)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dGTP catabolic process (GO:0006203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of mitochondrion localization (GO:0051654)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
spindle localization (GO:0051653)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
maintenance of location in cell (GO:0051651)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
mitochondrial alpha-ketoglutarate transmembrane transport (GO:1990550)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to acid chemical (GO:0071229)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
cellular response to tumor cell (GO:0071228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to muramyl dipeptide (GO:0071225)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to calcium ion (GO:1905945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to lipoteichoic acid (GO:0071223)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
cellular response to bacterial lipopeptide (GO:0071221)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to bacterial lipoprotein (GO:0071220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of gonad development (GO:1905941)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of gonad development (GO:1905940)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial NAD transmembrane transport (GO:1990549)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial FAD transmembrane transport (GO:1990548)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleus localization (GO:0051647)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
mitochondrion localization (GO:0051646)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of acid-sensing ion channel activity (GO:1901585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial tricarboxylic acid transmembrane transport (GO:1990546)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi localization (GO:0051645)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP transmembrane transport (GO:1990544)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum localization (GO:0051643)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
centrosome localization (GO:0051642)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901581)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial transmembrane transport (GO:1990542)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
cellular response to misfolded protein (GO:0071218)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of gonad development (GO:1905939)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to biotic stimulus (GO:0071216)	49	0	.39	-	 < 0.01	1.00E00	1.00E00
cellular response to abiotic stimulus (GO:0071214)	93	0	.74	-	 < 0.01	1.00E00	1.00E00
protein targeting to vacuole involved in autophagy (GO:0071211)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching (GO:1905931)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching (GO:1905930)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament network formation (GO:0051639)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
fructose import across plasma membrane (GO:1990539)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron projection maintenance (GO:1990535)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative biosynthetic process (GO:1901570)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative catabolic process (GO:1901569)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative metabolic process (GO:1901568)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	346	0	2.76	-	 < 0.01	1.09E-01	1.00E00
epinephrine uptake (GO:0051625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to camptothecin (GO:1901563)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
norepinephrine uptake (GO:0051620)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell differentiation involved in phenotypic switching (GO:1905916)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell differentiation involved in phenotypic switching (GO:1905915)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion export across plasma membrane (GO:1905913)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion export across plasma membrane (GO:1905912)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide import into mitochondrion (GO:1990519)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histamine uptake (GO:0051615)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell development (GO:1901552)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of serotonin uptake (GO:0051612)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of serotonin uptake (GO:0051611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell development (GO:1901550)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
serotonin uptake (GO:0051610)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
replicative senescence (GO:0090399)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular senescence (GO:0090398)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of excitatory postsynaptic potential (GO:0090394)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of amyloid fibril formation (GO:1905908)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of amyloid fibril formation (GO:1905907)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of amyloid fibril formation (GO:1905906)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
histamine transport (GO:0051608)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
defense response to virus (GO:0051607)	48	0	.38	-	 < 0.01	1.00E00	1.00E00
detection of stimulus (GO:0051606)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
response to raffinose (GO:1901545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein maturation (GO:0051604)	59	0	.47	-	 < 0.01	1.00E00	1.00E00
dense core granule exocytosis (GO:1990504)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to electrical stimulus (GO:0051602)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
exocyst localization (GO:0051601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagolysosome assembly involved in apoptotic cell clearance (GO:0090387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagosome maturation involved in apoptotic cell clearance (GO:0090386)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagosome-lysosome fusion (GO:0090385)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phagosome maturation (GO:0090382)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
changes to DNA methylation involved in embryo development (GO:1901538)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA demethylation (GO:1901537)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA demethylation (GO:1901535)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of hematopoietic progenitor cell differentiation (GO:1901534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholesterol efflux (GO:0090370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of anion channel activity (GO:1901529)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitophagy (GO:1901526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitophagy (GO:1901525)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitophagy (GO:1901524)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of platelet-derived growth factor production (GO:0090361)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transport (GO:0070778)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial tube morphogenesis (GO:1901509)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of acylglycerol transport (GO:1901508)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of acylglycerol transport (GO:1901506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ether biosynthetic process (GO:1901503)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
ether catabolic process (GO:1901502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0140199)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0140192)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell aging (GO:0090344)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell aging (GO:0090343)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sensory system development (GO:0048880)	94	0	.75	-	 < 0.01	1.00E00	1.00E00
regulation of cell aging (GO:0090342)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of secretion of lysosomal enzymes (GO:0090340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chemical homeostasis (GO:0048878)	258	0	2.06	-	 < 0.01	2.66E-01	1.00E00
chemical homeostasis within a tissue (GO:0048875)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
host-mediated regulation of intestinal microbiota composition (GO:0048874)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of brown fat cell differentiation (GO:0090336)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
homeostasis of number of cells within a tissue (GO:0048873)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of brown fat cell differentiation (GO:0090335)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
homeostasis of number of cells (GO:0048872)	64	0	.51	-	 < 0.01	1.00E00	1.00E00
multicellular organismal homeostasis (GO:0048871)	74	0	.59	-	 < 0.01	1.00E00	1.00E00
negative regulation of platelet aggregation (GO:0090331)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of platelet aggregation (GO:0090330)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
interleukin-35-mediated signaling pathway (GO:0070757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-dependent DNA replication (GO:0090329)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of locomotion involved in locomotory behavior (GO:0090327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stem cell development (GO:0048864)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of locomotion involved in locomotory behavior (GO:0090326)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stem cell differentiation (GO:0048863)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
regulation of locomotion involved in locomotory behavior (GO:0090325)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative phosphorylation (GO:0090324)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leukemia inhibitory factor signaling pathway (GO:0048861)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of superoxide metabolic process (GO:0090322)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of chylomicron remnant clearance (GO:0090321)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chylomicron remnant clearance (GO:0090320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to interleukin-6 (GO:0070741)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
formation of anatomical boundary (GO:0048859)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell projection morphogenesis (GO:0048858)	117	0	.93	-	 < 0.01	1.00E00	1.00E00
neural nucleus development (GO:0048857)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular protein transport (GO:0090317)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
brain morphogenesis (GO:0048854)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular protein transport (GO:0090316)	64	0	.51	-	 < 0.01	1.00E00	1.00E00
forebrain morphogenesis (GO:0048853)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein targeting to membrane (GO:0090315)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
