




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
proteoglycan binding (GO:0043394)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
smoothened binding (GO:0005119)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAIL binding (GO:0045569)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type II transforming growth factor beta receptor binding (GO:0005114)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
patched binding (GO:0005113)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Notch binding (GO:0005112)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
type 2 fibroblast growth factor receptor binding (GO:0005111)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase (NAD+) activity (GO:0004022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alanine:2-oxoglutarate aminotransferase activity (GO:0004021)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
translation repressor activity, mRNA regulatory element binding (GO:0000900)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ISG15 transferase activity (GO:0042296)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
delta-catenin binding (GO:0070097)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
frizzled binding (GO:0005109)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
carnosine synthase activity (GO:0047730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor binding (GO:0005104)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
adenylate kinase activity (GO:0004017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase activity (GO:0004016)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adenosylmethionine decarboxylase activity (GO:0004014)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor (GO:0016663)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenosylhomocysteinase activity (GO:0004013)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class I protein binding (GO:0042288)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC protein binding (GO:0042287)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
xylosyltransferase activity (GO:0042285)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chromo shadow domain binding (GO:0070087)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042281)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
titin Z domain binding (GO:0070080)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor (GO:0016657)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
syndecan binding (GO:0045545)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor (GO:0016652)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine kinase activity (GO:0004001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenosine deaminase activity (GO:0004000)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
efflux transmembrane transporter activity (GO:0015562)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide binding (GO:0042277)	66	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA trimethylguanosine synthase activity (GO:0071164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of myelin sheath (GO:0019911)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingolipid binding (GO:0046625)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid transporter activity (GO:0046624)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingolipid floppase activity (GO:0046623)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
syntaxin binding (GO:0019905)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
protein domain specific binding (GO:0019904)	241	0	.32	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase binding (GO:0019901)	236	0	.31	-	 < 0.01	1.00E00	1.00E00
kinase binding (GO:0019900)	266	0	.35	-	 < 0.01	1.00E00	1.00E00
proline-rich region binding (GO:0070064)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose binding (GO:0070061)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
thrombospondin receptor activity (GO:0070053)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen V binding (GO:0070052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibrinogen binding (GO:0070051)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-independent protein kinase C activity (GO:0004699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein kinase C activity (GO:0004698)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase C activity (GO:0004697)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	137	0	.18	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor activity (GO:0045509)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxypyruvate reductase activity (GO:0016618)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	36	0	.05	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	41	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase activity (GO:0004689)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin light chain kinase activity (GO:0004687)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
elongation factor-2 kinase activity (GO:0004686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexose-phosphate:inorganic phosphate antiporter activity (GO:0015526)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein kinase activity (GO:0004683)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase RNA binding (GO:0070034)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase activity (GO:0004677)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase activity (GO:0004674)	164	0	.22	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tag (GO:0031386)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase activator activity (GO:0030296)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase activator activity (GO:0030295)	37	0	.05	-	 < 0.01	1.00E00	1.00E00
receptor signaling protein tyrosine kinase inhibitor activity (GO:0030294)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase inhibitor activity (GO:0030293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase inhibitor activity (GO:0030292)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di/monomethyl-lysine-4 demethylase activity (GO:0034647)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein deacetylase activity (GO:0033558)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
prostaglandin-endoperoxide synthase activity (GO:0004666)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
armadillo repeat domain binding (GO:0070016)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4G binding (GO:0031370)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid binding (GO:0035727)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen receptor activity (GO:0030284)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
oligopeptidase activity (GO:0070012)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase [NAD(P)] activity (GO:0030283)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transporter activity (GO:0034634)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
prenyltransferase activity (GO:0004659)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
propionyl-CoA carboxylase activity (GO:0004658)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase activity (GO:0004656)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
polynucleotide adenylyltransferase activity (GO:0004652)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-9 demethylase activity (GO:0032454)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
translation initiation factor binding (GO:0031369)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-4 demethylase activity (GO:0032453)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
maltose alpha-glucosidase activity (GO:0032450)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
serine-type exopeptidase activity (GO:0070008)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
metalloaminopeptidase activity (GO:0070006)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin binding (GO:0030276)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-type exopeptidase activity (GO:0070004)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
LRR domain binding (GO:0030275)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
threonine-type peptidase activity (GO:0070003)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
LIM domain binding (GO:0030274)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartic-type peptidase activity (GO:0070001)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
endopolyphosphatase activity (GO:0000298)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase activity (GO:0000293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alkylthioltransferase activity (GO:0050497)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-specific protease binding (GO:1990381)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADP+) activity (GO:0030267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Lys48-specific deubiquitinase activity (GO:1990380)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-2'-O-)-methyltransferase activity (GO:0052666)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin binding (GO:0034617)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
magnesium ion binding (GO:0000287)	68	0	.09	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP 5'-nucleotidase activity (GO:0050483)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
K6-linked polyubiquitin modification-dependent protein binding (GO:0071796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
K11-linked polyubiquitin modification-dependent protein binding (GO:0071795)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transaminase activity (GO:0052656)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-valine transaminase activity (GO:0052655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-leucine transaminase activity (GO:0052654)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase (NAD+) activity (GO:0034604)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase [NAD(P)+] activity (GO:0034603)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP-retinol dehydrogenase activity (GO:0052650)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
lysophospholipase activity (GO:0004622)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
lipase activator activity (GO:0060229)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase activity (GO:0004620)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate binding (GO:0030246)	52	0	.07	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cycloeucalenone reductase activity (GO:0102176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
activin binding (GO:0048185)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxysteroid dehydrogenase/C4-decarboxylase activity (GO:0102175)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amide transmembrane transporter activity (GO:0042887)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase regulator activity (GO:0030235)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
enzyme regulator activity (GO:0030234)	397	0	.53	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transmembrane transporter activity (GO:0030233)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine diphosphorylase activity (GO:0052630)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-keto sterol reductase activity (GO:0000253)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102167)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102166)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidate cytidylyltransferase activity (GO:0004605)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex binding (GO:0032408)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metal cluster binding (GO:0051540)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MutLbeta complex binding (GO:0032406)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex binding (GO:0032405)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor activity (GO:0030228)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
apolipoprotein receptor activity (GO:0030226)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5 trisphosphate binding (GO:0070679)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
preprotein binding (GO:0070678)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster binding (GO:0051536)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
very-long-chain-acyl-CoA dehydrogenase activity (GO:0017099)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor binding (GO:0017098)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor binding (GO:0030215)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-D-galactosaminidase activity (GO:0102148)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tau protein binding (GO:0048156)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
microfibril binding (GO:0050436)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oleate transmembrane transporter activity (GO:1901480)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate N-deacetylase activity (GO:0102140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta binding (GO:0050431)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
all-trans-decaprenyl-diphosphate synthase activity (GO:0097269)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride channel regulator activity (GO:0017081)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium channel regulator activity (GO:0017080)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor binding (GO:0070653)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
azole transmembrane transporter activity (GO:1901474)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase C activity (GO:0050429)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulatory RNA binding (GO:0061980)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
syntaxin-1 binding (GO:0017075)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
U6 snRNA binding (GO:0017070)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin D response element binding (GO:0070644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA secondary structure binding (GO:0000217)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
